Start_Date,Job_Title,Department,Department_Code,Job_Term,List_Type,Req_Number,Appointment_Type
01/14/2019 12:00:00 AM,LIBRARY ASSOCIATE I (CLASS CODE 6520),New Orleans Public Library,630,,,2018-03338,New Hire/Rehire
01/20/2019 12:00:00 AM,POLICE RECRUIT - ACADEMY,Police Department,270,Probationary,Regular,2019-00136,New Hire/Rehire
01/20/2019 12:00:00 AM,LABORER (CLASS CODE 1510),Sanitation Department,300,Full time,Regular,2019-00213,New Hire/Rehire
01/31/2019 06:00:00 AM,REINSTATEMENTS (All classifications),Sewerage and Water Board of New Orleans,010D,Reinstatement,Regular,2019-00108,New Hire/Rehire
02/03/2019 12:00:00 AM,POLICE RECRUIT - ACADEMY,Police Department,270,Probationary,Regular,2019-00143,New Hire/Rehire
02/10/2019 12:00:00 AM,POLICE RECRUIT - ACADEMY,Police Department,270,Probationary,Regular,2019-00142,New Hire/Rehire
02/18/2019 12:00:00 AM,RECREATION LIFEGUARD I (CLASS CODE 6110),Miscellaneous,700,Probationary,Regular,2019-00089,New Hire/Rehire
02/04/2019 12:00:00 AM,MANAGEMENT DEVELOPMENT ANALYST I,Sewerage and Water Board of New Orleans,010D,Full time,Regular,2018-03336,New Hire/Rehire
02/18/2019 12:00:00 AM,RECREATION LIFEGUARD I (CLASS CODE 6110),Miscellaneous,700,Probationary,Regular,2019-00091,New Hire/Rehire
02/17/2019 12:00:00 AM,POLICE RECRUIT - ACADEMY,Police Department,270,Probationary,Regular,2019-00144,New Hire/Rehire
02/25/2019 12:00:00 AM,RECREATION CENTER ASSISTANT I (CLASS CODE 6158),Miscellaneous,700,Probationary,Regular,2019-00085,New Hire/Rehire
02/17/2019 12:00:00 AM,POLICE AIDE (CLASS CODE 7105),Police Department,270,Provisional,Regular,2019-00255,New Hire/Rehire
02/25/2019 12:00:00 AM,LABORER (CLASS CODE 1510),Miscellaneous,700,Probationary,Regular,2019-00209,New Hire/Rehire
03/04/2019 06:00:00 AM,LABORER (CLASS CODE 1510),Property Management,450,Probationary,Regular and Promotional,2019-00746,New Hire/Rehire
03/10/2019 12:00:00 AM,POLICE RECRUIT - ACADEMY,Police Department,270,Probationary,Regular,2019-00387,New Hire/Rehire
03/25/2019 12:00:00 AM,AIRPORT COMMUNICATIONS SPECIALIST (CLASS CODE 8060),New Orleans Aviation Board,900,Probationary,Regular,2019-00440,New Hire/Rehire
04/08/2019 12:00:00 AM,RECREATION ACTIVITIES COORDINATOR (CLASS CODE 6122),Miscellaneous,700,Probationary,Regular,2019-00175,New Hire/Rehire
01/02/2019 12:00:00 AM,TAXICAB INVESTIGATOR (CLASS CODE 2263),Safety & Permits,260,Full time,Regular,2018-03326,New Hire/Rehire
01/07/2019 12:00:00 AM,"PURCHASING AGENT, ASSISTANT (CLASS CODE 0313)",Finance Department,400,Probationary,Regular,2018-02510,New Hire/Rehire
01/14/2019 12:00:00 AM,LIBRARY ASSOCIATE I (CLASS CODE 6520),New Orleans Public Library,630,,,2018-03339,New Hire/Rehire
01/20/2019 12:00:00 AM,POLICE RECRUIT - ACADEMY,Police Department,270,Probationary,Regular,2019-00135,New Hire/Rehire
01/20/2019 12:00:00 AM,POLICE RECRUIT - ACADEMY,Police Department,270,Probationary,Regular,2019-00137,New Hire/Rehire
01/14/2019 12:00:00 AM,CHIEF ACCOUNTANT (CLASS CODE 0405),New Orleans Aviation Board,900,Full time,Departmental Promotional Only,2018-02750,New Hire/Rehire
01/29/2019 12:00:00 AM,LABORER (CLASS CODE 1510),Sanitation Department,300,Full time,Regular,2019-00315,New Hire/Rehire
02/03/2019 12:00:00 AM,POLICE RECRUIT - ACADEMY,Police Department,270,Probationary,Regular,2019-00139,New Hire/Rehire
02/10/2019 12:00:00 AM,PEST CONTROL INSPECTOR II (CLASS CODE 5427),New Orleans Mosquito and Termite Control Board,685,Probationary,Regular,2019-00430,New Hire/Rehire
02/04/2019 12:00:00 AM,"SR CITY PLANNER-City Plan, Design Rev, Environ, Storm Water, Housing, Comm Dev, Trans, Parking, GIS",Sewerage and Water Board of New Orleans,010D,Full time,Regular,2019-00449,New Hire/Rehire
02/04/2019 12:00:00 AM,ATTORNEY IV (CLASS CODE 7027),Sewerage and Water Board of New Orleans,010D,Full time,Regular,2019-00216,New Hire/Rehire
02/25/2019 12:00:00 AM,INFORMATION TECHNOLOGY SPECIALIST III (DATABASE ADMINISTRATOR) (CLASS CODE 0177),New Orleans Aviation Board,900,Probationary,Regular and Promotional,2019-00148,New Hire/Rehire
01/21/2019 12:00:00 AM,OFFICE ASSISTANT II (ENTRANCE) (CLASS CODE 0060),Sewerage and Water Board of New Orleans,010D,Full time,Regular,2019-00194,New Hire/Rehire
03/03/2019 12:00:00 AM,POLICE AIDE (CLASS CODE 7105),Police Department,270,Provisional,Regular,2019-00257,New Hire/Rehire
02/27/2019 12:00:00 AM,REINSTATEMENTS (All classifications),Health Department,360,Probationary,Regular,2019-00653,New Hire/Rehire
02/25/2019 12:00:00 AM,CONSTRUCTION INSPECTOR II (CLASS 4420),Public Works Department,500,Probationary,Regular,2019-00302,New Hire/Rehire
03/04/2019 12:00:00 AM,LABORER (CLASS CODE 1510),Parks & Parkways,620,Probationary,Regular,2019-00537,New Hire/Rehire
03/17/2019 12:00:00 AM,POLICE AIDE (CLASS CODE 7105),Police Department,270,Provisional,Regular,2019-00258,New Hire/Rehire
03/10/2019 12:00:00 AM,POLICE RECRUIT - ACADEMY,Police Department,270,Probationary,Regular,2019-00393,New Hire/Rehire
03/11/2019 12:00:00 AM,TAX COLLECTION SPECIALIST I (CLASS CODE 0437),Finance Department,400,Full time,Regular,2019-00164,New Hire/Rehire
03/11/2019 12:00:00 AM,TAXICAB INVESTIGATOR (CLASS CODE 2263),Safety & Permits,260,Full time,Regular,2019-00180,New Hire/Rehire
03/18/2019 05:00:00 AM,NETWORKS MAINTENANCE TECHNICIAN I (CLASS CODE 3301),Sewerage and Water Board of New Orleans,010D,Probationary,Regular,2019-00705,New Hire/Rehire
03/25/2019 12:00:00 AM,"OFFICE ASSISTANT, TRAINEE (CLASS CODE 0020)",Sanitation Department,300,Probationary,Regular,2019-00834,New Hire/Rehire
04/08/2019 12:00:00 AM,Transient,Miscellaneous,700,Transient (3 month appointment),Regular,2019-00852,New Hire/Rehire
04/08/2019 12:00:00 AM,PUBLIC WORKS MAINTENANCE SPECIALIST (CLASS CODE 3110),Property Management,450,Probationary,Regular,2019-00041,New Hire/Rehire
04/09/2019 12:00:00 AM,LABORER (CLASS CODE 1510),Property Management,450,Probationary,Regular,2019-01130,New Hire/Rehire
04/09/2019 05:00:00 AM,LIBRARY ASSOCIATE I (CLASS CODE 6520),New Orleans Public Library,630,,,2019-00626,New Hire/Rehire
04/08/2019 12:00:00 AM,AIRPORT COMMUNICATIONS SPECIALIST (CLASS CODE 8060),New Orleans Aviation Board,900,Probationary,Regular,2019-00441,New Hire/Rehire
04/22/2019 12:00:00 AM,"EMERGENCY MEDICAL TECHNICIAN, PARAMEDIC (CLASS CODE 5171)",Health Department,360,Probationary,Regular,2019-00654,New Hire/Rehire
04/22/2019 12:00:00 AM,"EMERGENCY MEDICAL TECHNICIAN, PARAMEDIC (CLASS CODE 5171)",Health Department,360,Probationary,Regular,2019-00760,New Hire/Rehire
04/09/2019 12:00:00 AM,LIBRARY ASSOCIATE I (CLASS CODE 6520),New Orleans Public Library,630,,,2019-00695,New Hire/Rehire
04/22/2019 12:00:00 AM,"EMERGENCY MEDICAL TECHNICIAN, BASIC (CLASS CODE 5170)",Health Department,360,Probationary,Regular,2019-00320,New Hire/Rehire
04/28/2019 12:00:00 AM,POLICE TECHNICAL SPECIALIST I (CRIME SCENE TECHNICIAN) (CLASS CODE 7143),Police Department,270,Probationary,Regular,2019-00562,New Hire/Rehire
05/06/2019 12:00:00 AM,RECREATION CENTER ASSISTANT I (CLASS CODE 6158),Miscellaneous,700,Probationary,Regular,2019-00883,New Hire/Rehire
05/13/2019 12:00:00 AM,ENVIRONMENTAL ENFORCEMENT TECHNICIAN I (CLASS CODE 3085),Sewerage and Water Board of New Orleans,010D,Probationary,Regular and Promotional,2019-01119,New Hire/Rehire
01/02/2019 12:00:00 AM,FIRE PREVENTION INSPECTOR (CLASS CODE 2270),Fire Department,250,Probationary,Regular and Promotional,2018-02828,New Hire/Rehire
01/28/2019 12:00:00 AM,LABORER (CLASS CODE 1510),Parks & Parkways,620,Probationary,Regular,2019-00029,New Hire/Rehire
01/14/2019 12:00:00 AM,HEALTH PROJECT & PLANNING ANALYST (CLASS CODE 5501),Health Department,360,Probationary,Regular,2018-03267,New Hire/Rehire
01/28/2019 12:00:00 AM,LABORER (CLASS CODE 1510),Parks & Parkways,620,Probationary,Regular,2019-00035,New Hire/Rehire
01/07/2019 12:00:00 AM,OFFICE ASSISTANT II (ENTRANCE) (CLASS CODE 0060),Sewerage and Water Board of New Orleans,010D,Full time,Regular,2018-03402,New Hire/Rehire
02/10/2019 12:00:00 AM,MANAGEMENT DEVELOPMENT ANALYST I (CLASS CODE 0361),Safety & Permits,260,Full time,Regular,2018-03373,New Hire/Rehire
02/17/2019 12:00:00 AM,POLICE AIDE (CLASS CODE 7105),Police Department,270,Provisional,Regular,2019-00253,New Hire/Rehire
02/28/2019 12:00:00 AM,INFORMATION TECHNOLOGY SPECIALIST III (SYSTEM ADMINISTRATOR) (CLASS CODE 0177),Chief Administrative Office,220,Probationary,Regular,2019-00535,New Hire/Rehire
02/19/2019 12:00:00 AM,FOOD SERVICES WORKER (CLASS CODE 1210),Human Services,380,Probationary,Regular,2019-00591,New Hire/Rehire
03/17/2019 12:00:00 AM,SOCIAL SERVICES WORKER III (CLASS CODE 6034),Police Department,270,Probationary,Regular,2019-00100,New Hire/Rehire
03/11/2019 12:00:00 AM,AUDITOR ASSISTANT (CLASS CODE 0425),Finance Department,400,Full time,Regular,2019-00651,New Hire/Rehire
03/11/2019 12:00:00 AM,MANAGEMENT DEVELOPMENT ANALYST I,Finance Department,400,Full time,Regular,2019-00514,New Hire/Rehire
03/10/2019 12:00:00 AM,POLICE RECRUIT - ACADEMY,Police Department,270,Probationary,Regular,2019-00395,New Hire/Rehire
03/11/2019 12:00:00 AM,AIRPORT TECHNICIAN I (EQUIPMENT OPERATOR) (CLASS CODE 8043),New Orleans Aviation Board,900,Probationary,Regular and Promotional,2019-00119,New Hire/Rehire
01/22/2019 12:00:00 AM,NETWORKS MAINTENANCE TECHNICIAN I (CLASS CODE 3301),Sewerage and Water Board of New Orleans,010D,Probationary,Regular,2019-00011,New Hire/Rehire
03/18/2019 12:00:00 AM,ENVIRONMENTAL ENFORCEMENT TECHNICIAN I (CLASS CODE 3085),Sewerage and Water Board of New Orleans,010D,Full time,Regular and Promotional,2019-00480,New Hire/Rehire
04/07/2019 12:00:00 AM,PEST CONTROL INSPECTOR II (CLASS CODE 5427),New Orleans Mosquito and Termite Control Board,685,Limited Term (maximum of three years),Regular,2019-00872,New Hire/Rehire
04/14/2019 12:00:00 AM,PEST CONTROL INSPECTOR I (CLASS CODE 5426),New Orleans Mosquito and Termite Control Board,685,Transient (3 month appointment),Regular,2019-00419,New Hire/Rehire
04/08/2019 12:00:00 AM,MANAGEMENT DEVELOPMENT ANALYST I (CLASS CODE 0361),Finance Department,400,Full time,Regular,2019-00692,New Hire/Rehire
04/08/2019 12:00:00 AM,FOOD SERVICES WORKER (CLASS CODE 1210),Human Services,380,Probationary,Regular,2019-00879,New Hire/Rehire
04/09/2019 12:00:00 AM,LABORER (CLASS CODE 1510),Property Management,450,Probationary,Regular,2019-01129,New Hire/Rehire
04/08/2019 12:00:00 AM,RECREATION ACTIVITIES COORDINATOR (CLASS CODE 6122),Miscellaneous,700,Probationary,Regular,2019-01157,New Hire/Rehire
04/08/2019 12:00:00 AM,LABORER (CLASS CODE 1510),Human Services,380,Probationary,Regular,2019-00936,New Hire/Rehire
04/15/2019 12:00:00 AM,MANAGEMENT DEVELOPMENT ANALYST I (CLASS CODE 0361),Finance Department,400,Probationary,Regular,2019-00783,New Hire/Rehire
04/22/2019 05:00:00 AM,PARKING ENFORCEMENT OFFICER I (CLASS CODE 7163),Public Works Department,500,Probationary,Regular,2019-00587,New Hire/Rehire
04/02/2019 12:00:00 AM,HEALTH PROJECT & PLANNING SENIOR ANALYST (VIOLENCE PREVENTION & REDUCTION) (CLASS CODE 5510),Health Department,360,Probationary,Regular,2019-01117,New Hire/Rehire
04/28/2019 12:00:00 AM,POLICE TECHNICIAN I (CLASS CODE 7141),Police Department,270,Probationary,Regular,2019-01153,New Hire/Rehire
04/22/2019 12:00:00 AM,"EMERGENCY MEDICAL TECHNICIAN, PARAMEDIC (CLASS CODE 5171)",Health Department,360,Probationary,Regular,2019-00798,New Hire/Rehire
04/22/2019 12:00:00 AM,"EMERGENCY MEDICAL TECHNICIAN, BASIC (CLASS CODE 5170)",Health Department,360,Probationary,Regular,2019-00910,New Hire/Rehire
04/29/2019 12:00:00 AM,PARKING ENFORCEMENT OFFICER I (CLASS CODE 7163),Public Works Department,500,Probationary,Regular,2019-00583,New Hire/Rehire
04/29/2019 12:00:00 AM,PARKING ENFORCEMENT OFFICER I (CLASS CODE 7163),Public Works Department,500,Probationary,Regular,2019-00588,New Hire/Rehire
04/28/2019 12:00:00 AM,POLICE TECHNICAL SPECIALIST I (CRIME SCENE TECHNICIAN) (CLASS CODE 7143),Police Department,270,Probationary,Regular,2019-00564,New Hire/Rehire
05/05/2019 12:00:00 AM,POLICE TECHNICAL SPECIALIST I (CRIME SCENE TECHNICIAN) (CLASS CODE 7143),Police Department,270,Probationary,Regular,2019-01525,New Hire/Rehire
05/06/2019 12:00:00 AM,BUILDING PLAN EXAMINER (CLASS CODE 4244),Safety & Permits,260,Full time,Regular,2019-00838,New Hire/Rehire
05/06/2019 12:00:00 AM,PARKING ENFORCEMENT OFFICER I (CLASS CODE 7163),Public Works Department,500,Probationary,Regular,2019-01327,New Hire/Rehire
05/12/2019 12:00:00 AM,POLICE RECRUIT - ACADEMY,Police Department,270,Probationary,Regular,2019-01390,New Hire/Rehire
05/12/2019 12:00:00 AM,POLICE RECRUIT - ACADEMY,Police Department,270,Probationary,Regular,2019-01391,New Hire/Rehire
05/06/2019 12:00:00 AM,ACCOUNTANT I (CLASS CODE 0421),New Orleans Aviation Board,900,Probationary,Regular,2019-00681,New Hire/Rehire
06/03/2019 05:00:00 AM,MANAGEMENT DEVELOPMENT ANALYST I,Miscellaneous,700,Probationary,,2019-00917,New Hire/Rehire
05/26/2019 12:00:00 AM,POLICE RECRUIT - ACADEMY,Police Department,270,Probationary,Regular,2019-01393,New Hire/Rehire
05/13/2019 05:00:00 AM,NETWORKS MAINTENANCE TECHNICIAN I (CLASS CODE 3301),Sewerage and Water Board of New Orleans,010D,Probationary,Regular,2019-01415,New Hire/Rehire
05/13/2019 05:00:00 AM,NETWORKS MAINTENANCE TECHNICIAN I (CLASS CODE 3301),Sewerage and Water Board of New Orleans,010D,Probationary,Regular,2019-01294,New Hire/Rehire
05/13/2019 12:00:00 AM,UTILITIES PLANT WORKER (CLASS CODE 3016),Sewerage and Water Board of New Orleans,010D,Probationary,Regular and Promotional,2019-01323,New Hire/Rehire
05/28/2019 12:00:00 AM,TOW TRUCK OPERATOR I (CLASS CODE 1917),Public Works Department,500,Probationary,Regular,2019-00788,New Hire/Rehire
05/28/2019 12:00:00 AM,TOW TRUCK OPERATOR I (CLASS CODE 1917),Public Works Department,500,Reinstatement,Regular,2019-00665,New Hire/Rehire
06/03/2019 12:00:00 AM,MANAGEMENT DEVELOPMENT ANALYST I,Miscellaneous,700,Probationary,Regular,2019-01738,New Hire/Rehire
05/28/2019 12:00:00 AM,EMERGENCY MANAGEMENT SERVICES COORDINATOR (CLASS CODE 8115),Sewerage and Water Board of New Orleans,010D,Probationary,Regular and Promotional,2019-01251,New Hire/Rehire
06/02/2019 12:00:00 AM,POLICE RECRUIT - ACADEMY,Police Department,270,Probationary,Regular,2019-01617,New Hire/Rehire
06/02/2019 12:00:00 AM,POLICE RECRUIT - ACADEMY,Police Department,270,Probationary,Regular,2019-01769,New Hire/Rehire
06/02/2019 12:00:00 AM,POLICE RECRUIT - ACADEMY,Police Department,270,Probationary,Regular,2019-01612,New Hire/Rehire
05/28/2019 05:00:00 AM,NETWORKS MAINTENANCE TECHNICIAN I (CLASS CODE 3301),Sewerage and Water Board of New Orleans,010D,Probationary,Regular,2019-01414,New Hire/Rehire
06/02/2019 12:00:00 AM,POLICE RECRUIT - ACADEMY,Police Department,270,Probationary,Regular,2019-01608,New Hire/Rehire
06/02/2019 12:00:00 AM,POLICE RECRUIT - ACADEMY,Police Department,270,Probationary,Regular,2019-01771,New Hire/Rehire
07/07/2019 12:00:00 AM,POLICE INVESTIGATIVE SPECIALIST (CLASS CODE 7167),Police Department,270,Probationary,Regular,2019-01173,New Hire/Rehire
06/10/2019 12:00:00 AM,MANAGEMENT DEVELOPMENT ANALYST I (CLASS CODE 0361),Human Services,380,Probationary,Regular and Promotional,2019-01487,New Hire/Rehire
06/17/2019 12:00:00 AM,TOW TRUCK OPERATOR I (CLASS CODE 1917),Public Works Department,500,Probationary,Regular,2019-00791,New Hire/Rehire
06/23/2019 12:00:00 AM,POLICE TECHNICIAN I (CLASS CODE 7141),Police Department,270,Probationary,Regular,2019-01570,New Hire/Rehire
07/07/2019 05:00:00 AM,POLICE INVESTIGATIVE SPECIALIST (CLASS CODE 7167),Police Department,270,Probationary,Regular,2019-01173,New Hire/Rehire
07/07/2019 05:00:00 AM,POLICE INVESTIGATIVE SPECIALIST (CLASS CODE 7167),Police Department,270,Probationary,Regular,2019-01171,New Hire/Rehire
07/07/2019 05:00:00 AM,POLICE INVESTIGATIVE SPECIALIST (CLASS CODE 7167),Police Department,270,Probationary,Regular,2019-01183,New Hire/Rehire
06/24/2019 12:00:00 AM,UTILITY SENIOR SERVICES MANAGER (PURCHASING ADMINISTATOR) (CLASS CODE 3095),Sewerage and Water Board of New Orleans,010D,Full time,Regular,2019-00456,New Hire/Rehire
07/07/2019 12:00:00 AM,FIRE RECRUIT,Fire Department,250,Probationary,Regular,2019-01689,New Hire/Rehire
07/07/2019 12:00:00 AM,FIRE RECRUIT,Fire Department,250,Probationary,Regular,2019-01691,New Hire/Rehire
07/07/2019 12:00:00 AM,FIRE RECRUIT,Fire Department,250,Probationary,Regular,2019-01694,New Hire/Rehire
07/07/2019 12:00:00 AM,FIRE RECRUIT,Fire Department,250,Probationary,Regular,2019-01695,New Hire/Rehire
07/07/2019 12:00:00 AM,FIRE RECRUIT,Fire Department,250,Probationary,Regular,2019-01696,New Hire/Rehire
06/24/2019 12:00:00 AM,UTILITIES PLANT WORKER (CLASS CODE 3016),Sewerage and Water Board of New Orleans,010D,Probationary,Regular and Promotional,2019-01532,New Hire/Rehire
07/22/2019 12:00:00 AM,MANAGEMENT DEVELOPMENT ANALYST I (CLASS CODE 0361),Sewerage and Water Board of New Orleans,010D,Probationary,Regular and Promotional,2019-01653,New Hire/Rehire
08/04/2019 12:00:00 AM,POLICE RECRUIT - ACADEMY,Police Department,270,Probationary,Regular,2019-02254,New Hire/Rehire
08/04/2019 12:00:00 AM,POLICE RECRUIT - ACADEMY,Police Department,270,Probationary,Regular,2019-02253,New Hire/Rehire
08/05/2019 05:00:00 AM,NETWORKS MAINTENANCE TECHNICIAN I (CLASS CODE 3301),Sewerage and Water Board of New Orleans,010D,Probationary,Regular,2019-02091,New Hire/Rehire
08/05/2019 05:00:00 AM,NETWORKS MAINTENANCE TECHNICIAN I (CLASS CODE 3301),Sewerage and Water Board of New Orleans,010D,Probationary,Regular,2019-02094,New Hire/Rehire
08/05/2019 05:00:00 AM,NETWORKS MAINTENANCE TECHNICIAN I (CLASS CODE 3301),Sewerage and Water Board of New Orleans,010D,Probationary,Regular,2019-02264,New Hire/Rehire
08/05/2019 05:00:00 AM,NETWORKS MAINTENANCE TECHNICIAN I (CLASS CODE 3301),Sewerage and Water Board of New Orleans,010D,Probationary,Regular,2019-02489,New Hire/Rehire
08/18/2019 12:00:00 AM,POLICE RECRUIT - ACADEMY,Police Department,270,Probationary,Regular,2019-02258,New Hire/Rehire
09/01/2019 12:00:00 AM,POLICE RECRUIT - ACADEMY,Police Department,270,Probationary,Regular,2019-02497,New Hire/Rehire
09/23/2019 12:00:00 AM,"SR CITY PLANNER-City Plan, Design Rev, Environ, Storm Water, Housing, Comm Dev, Trans, Parking, GIS",City Planning Commission,670,Full time,Regular,2019-02396,New Hire/Rehire
11/04/2019 12:00:00 AM,ENGINEER INTERN I,Public Works Department,500,Probationary,Regular,2019-02518,New Hire/Rehire
10/21/2019 12:00:00 AM,GROUNDS PATROL SUPERVISOR (CLASS CODE 7186),Mayor's Office,210,Probationary,Regular,2019-02484,New Hire/Rehire
01/10/2019 12:00:00 AM,MANAGEMENT DEVELOPMENT ANALYST I,French Market Corporation,892,Probationary,Regular and Promotional,2019-00157,New Hire/Rehire
01/27/2019 12:00:00 AM,Provisional,Parks & Parkways,620,Provisional,Regular,2019-00031,New Hire/Rehire
02/03/2019 12:00:00 AM,REINSTATEMENTS (All classifications),Police Department,270,Probationary,Regular and Promotional,2019-00335,New Hire/Rehire
02/11/2019 12:00:00 AM,MANAGEMENT DEVELOPMENT SPECIALIST II (ORIGINAL ENTRANCE) (CLASS CODE 0364),Chief Administrative Office,220,Probationary,Regular,2019-00595,New Hire/Rehire
02/17/2019 12:00:00 AM,MAINTENANCE ENGINEER (CLASS CODE 2411),Property Management,450,,,2019-00012,New Hire/Rehire
02/19/2019 12:00:00 AM,"OFFICE ASSISTANT, TRAINEE (CLASS CODE 0020)",Parks & Parkways,620,Provisional,Regular,2019-00032,New Hire/Rehire
04/08/2019 12:00:00 AM,Transient,Miscellaneous,700,Transient (3 month appointment),Regular,2019-00851,New Hire/Rehire
04/29/2019 12:00:00 AM,AUTOMOTIVE MECHANIC I (CLASS CODE 1990),Chief Administrative Office,220,Probationary,Regular,2019-00913,New Hire/Rehire
04/29/2019 12:00:00 AM,AUTOMOTIVE MECHANIC I (CLASS CODE 1990),Chief Administrative Office,220,Probationary,Regular,2019-00911,New Hire/Rehire
05/13/2019 05:00:00 AM,UTILITIES MAINTENANCE TECHNICIAN I (CLASS CODE 3403),Sewerage and Water Board of New Orleans,010D,Full time,Regular,2019-01422,New Hire/Rehire
05/06/2019 12:00:00 AM,LABORER (CLASS CODE 1510),Miscellaneous,700,Probationary,Regular,2019-00717,New Hire/Rehire
05/20/2019 12:00:00 AM,Transient,Miscellaneous,700,Transient (3 month appointment),Regular,2019-01082,New Hire/Rehire
05/13/2019 12:00:00 AM,Transient,Miscellaneous,700,Transient (3 month appointment),Regular,2019-00853,New Hire/Rehire
05/20/2019 12:00:00 AM,Transient,Miscellaneous,700,Transient (3 month appointment),Regular,2019-00861,New Hire/Rehire
05/20/2019 12:00:00 AM,RECREATION SITE FACILITATOR I (CLASS CODE 6145),Miscellaneous,700,Probationary,Regular,2019-01432,New Hire/Rehire
05/20/2019 12:00:00 AM,Transient,Miscellaneous,700,Transient (3 month appointment),Regular,2019-00860,New Hire/Rehire
05/28/2019 12:00:00 AM,Transient,Miscellaneous,700,Transient (3 month appointment),Regular,2019-00952,New Hire/Rehire
05/28/2019 12:00:00 AM,Transient,Miscellaneous,700,Transient (3 month appointment),Regular,2019-00953,New Hire/Rehire
05/28/2019 12:00:00 AM,Transient,Miscellaneous,700,Transient (3 month appointment),Regular,2019-00954,New Hire/Rehire
05/28/2019 12:00:00 AM,Transient,Miscellaneous,700,Transient (3 month appointment),Regular,2019-00955,New Hire/Rehire
05/28/2019 12:00:00 AM,Transient,Miscellaneous,700,Transient (3 month appointment),Regular,2019-00970,New Hire/Rehire
05/28/2019 12:00:00 AM,Transient,Miscellaneous,700,Transient (3 month appointment),Regular,2019-00974,New Hire/Rehire
05/28/2019 12:00:00 AM,Transient,Miscellaneous,700,Transient (3 month appointment),Regular,2019-00975,New Hire/Rehire
05/28/2019 12:00:00 AM,Transient,Miscellaneous,700,Transient (3 month appointment),Regular,2019-00972,New Hire/Rehire
05/28/2019 12:00:00 AM,Transient,Miscellaneous,700,Transient (3 month appointment),Regular,2019-00967,New Hire/Rehire
05/28/2019 12:00:00 AM,Transient,Miscellaneous,700,Transient (3 month appointment),Regular,2019-00969,New Hire/Rehire
05/13/2019 12:00:00 AM,"OFFICE ASSISTANT, TRAINEE (CLASS CODE 0020)",Finance Department,400,Full time,Regular,2019-00516,New Hire/Rehire
05/28/2019 12:00:00 AM,Transient,Miscellaneous,700,Transient (3 month appointment),Regular,2019-00957,New Hire/Rehire
05/28/2019 12:00:00 AM,Transient,Miscellaneous,700,Transient (3 month appointment),Regular,2019-00958,New Hire/Rehire
05/28/2019 12:00:00 AM,Transient,Miscellaneous,700,Transient (3 month appointment),Regular,2019-00963,New Hire/Rehire
05/28/2019 12:00:00 AM,Transient,Miscellaneous,700,Transient (3 month appointment),Regular,2019-00965,New Hire/Rehire
05/28/2019 12:00:00 AM,Transient,Miscellaneous,700,Transient (3 month appointment),Regular,2019-00966,New Hire/Rehire
