the_geom,OBJECTID,BusinessName,Address,Suite,City,State,Zip,PhoneNumber,BusinessType,OwnerName,LocationX,LocationY
POINT (-90.100210384657 29.978799197121),15214,MATTIX CABINET WORKS,415 N SOLOMON ST,,NEW ORLEANS,LA,70119-4624,504-486-7218,"1140 - BUILDING MATERIAL DEALERS, OTHER",MATTIX CABINET WORKS INC,3671233.31547,539881.152906
POINT (-90.121739703538 29.92212587001),15200,CLEMENT HARDWARE,6000 MAGAZINE ST,,NEW ORLEANS,LA,70118,504-899-0711,1125 - HARDWARE STORES,CLEMENT HARDWARE LLC,3664635.45165,519199.846135
POINT (-90.116884635544 30.005922318352),15223,V.I.P KITCHEN,141 W HARRISON AVE,STE C,NEW ORLEANS,LA,70124,504-934-7101,"1140 - BUILDING MATERIAL DEALERS, OTHER","DESIGNER KITCHENS VIP, LLC",3665849.85594,549687.791316
POINT (-89.955755447336 30.047322063667),15208,"HOME DEPOT, USA INC #352(EAST)",12300 I 10 E SERVICE RD,,NEW ORLEANS,LA,70128,504-240-7071,"1140 - BUILDING MATERIAL DEALERS, OTHER","HOME DEPOT, USA",3716665.08037,565319.49565
POINT (-90.085456893301 29.947984437573),15207,HOME DEPOT  # 385(EARHART),1100 S CLAIBORNE AVE,,NEW ORLEANS,LA,70125,770-433-8211,"1140 - BUILDING MATERIAL DEALERS, OTHER","THE HOME DEPOT USA, INC",3676026.01672,528726.306816
POINT (-90.057573702075 29.983495434145),15211,LOWE'S OF CENTRAL NO 1846 TAX DEPT,2501 ELYSIAN FIELDS AVE,,NEW ORLEANS,LA,70117-7937,704-758-2206,"1140 - BUILDING MATERIAL DEALERS, OTHER","LOWE S HOME CENTERS, INC.",3684712.22882,541736.654412
POINT (-90.076989294557 29.951922709288),15219,T.S.L. SHEETMETAL LLC,4437 SAINT LOUIS ST,B,NEW ORLEANS,LA,70119,504-234-8336,"1140 - BUILDING MATERIAL DEALERS, OTHER",T.S.L. SHEETMETAL LLC,3678691.8167,530187.70942
POINT (-90.10968895734 29.935138736826),15205,FRERET HARDWARE STORE,5109 FRERET ST,,NEW ORLEANS,LA,70115,504-899-0351,1125 - HARDWARE STORES,"TORRES, FRED F",3668402.12692,523972.368252
POINT (-90.115483770557 29.916624401382),15210,LIBERTY LUMBER YARD INC,5383 TCHOUPITOULAS ST,,NEW ORLEANS,LA,70115,504-899-6341,"1140 - BUILDING MATERIAL DEALERS, OTHER",LIBERTY LUMBER YARD INC INC,3666638.35105,517220.318069
POINT (-90.047379523959 29.96960309237),15220,THE GREEN PROJECT,2831 MARAIS ST,,NEW ORLEANS,LA,70117,,"1140 - BUILDING MATERIAL DEALERS, OTHER",THE GREEN PROJECT,3687996.0383,536720.956615
POINT (-90.020888764626 30.014465683251),15203,EDDIES HARDWARE INC,4401 DOWNMAN RD,,NEW ORLEANS,LA,70126,504-242-8352,1125 - HARDWARE STORES,"GIROIR, EDGAR M         GIROIR, EDGAR M",3696196.36515,553129.753367
POINT (-90.076989294557 29.951922709288),15221,U S STONE OUTLET OF NEW ORLEANS,3134 ELYSIAN FIELDS AVE,,NEW ORLEANS,LA,70122,504-948-8989,"1140 - BUILDING MATERIAL DEALERS, OTHER",U S STONE OUTLET OF NEW ORLEANS,3678691.8167,530187.70942
POINT (-89.929260090042 30.026541501218),15216,NATIONAL POLYFAB CO,13120 CARRERE CT,,NEW ORLEANS,LA,70129,504-254-1025,"1140 - BUILDING MATERIAL DEALERS, OTHER",NATIONAL POYFAB CO INC,3725139.70412,557864.674971
POINT (-90.076989294557 29.951922709288),15218,ROCKERY ACE HARDWARE,7043 CANAL BLVD,,NEW ORLEANS,LA,70124,504-288-3522,1125 - HARDWARE STORES,LETELLIER JR DAVID L,3678691.8167,530187.70942
POINT (-90.070033208846 29.951946172854),15197,AMERICAN HERITAGE GROUP,201 ST CHARLES AVE,STE 2200  M.S. (G),NEW ORLEANS,LA,70170,,"1140 - BUILDING MATERIAL DEALERS, OTHER",AMERICAN HERITAGE GROUP LLC,3680894.4733,530220.460225
POINT (-90.056328415409 29.965397719203),15222,UNITED HARDWARE,735 ELYSIAN FIELDS AVE,,NEW ORLEANS,LA,70117,,1125 - HARDWARE STORES,"TROYER, JAMES",3685179.78601,535160.040646
