the_geom,OBJECTID,Name,Type,Description
"MULTIPOLYGON (((-90.062546406682 29.949961698919, -90.062866826634 29.949929121731, -90.062866780754 29.949928249734, -90.063335305113 29.949894613922, -90.063377942614 29.95002906153, -90.063399712806 29.950163307719, -90.063203704818 29.950190949358, -90.063195445823 29.95022494683, -90.063106962659 29.95020818997, -90.062993846927 29.950282067759, -90.06296318769 29.950436254141, -90.062924775104 29.950455967791, -90.063014447533 29.951199488134, -90.063149030596 29.951455699573, -90.063365374276 29.951827213621, -90.063506439077 29.952010685459, -90.063425993368 29.952228441567, -90.063407107746 29.953242877004, -90.063321281441 29.953413752712, -90.063267049172 29.953449651334, -90.063239575972 29.953730357334, -90.063183754108 29.953891116254, -90.063149461613 29.954130758221, -90.063190106756 29.954209734686, -90.063167359518 29.954360639318, -90.06308949543 29.954460771281, -90.063028043567 29.954773331685, -90.063051817008 29.954840767299, -90.06298237051 29.955007398018, -90.062904889556 29.95490226573, -90.062777924655 29.955201324083, -90.06280996163 29.955264550333, -90.062814467889 29.95529748188, -90.06280073313 29.955344536721, -90.062782162323 29.955384395605, -90.062708593452 29.955498706736, -90.062511319524 29.955726510853, -90.062449081466 29.955707774963, -90.062584732343 29.955412881595, -90.062670103357 29.955250492862, -90.06295866542 29.954620230362, -90.062981746356 29.954464303576, -90.062483390872 29.95439213185, -90.062705858116 29.953212437251, -90.062686582485 29.953138035571, -90.062666324414 29.95179639961, -90.062456147956 29.949973260784, -90.062546406682 29.949961698919)))",12,NEW ORLEANS OYSTER FESTIVAL,Culinary Arts,WOLDENBURG PARK
"MULTIPOLYGON (((-90.078478510225 29.951479720689, -90.078463119042 29.951472850504, -90.078443013526 29.951468640235, -90.079684622442 29.948972776075, -90.079706444431 29.948981338622, -90.078478510225 29.951479720689)))",5,NEW ORLEANS INTERNATIONAL BEER FESTIVAL,Culinary Arts,LASALLE ST FROM DAVE DIXON DR TO SUGAR BOWL DR
"MULTIPOLYGON (((-90.059554758569 29.959608958431, -90.059733300146 29.959747161232, -90.058094686391 29.961126767422, -90.0576181515 29.960780028072, -90.059554758569 29.959608958431)))",14,FOODFEST: AMERICA'S HOMETOWN EATS,Culinary Arts,URSULINES AVE FROM N PETERS ST TO FRENCH MARKET PL; FRENCH MARKET PL FROM URSULINES AVE TO BARRACKS ST; BARRACKS ST FROM FRENCH MARKET PL TO N PETERS ST; N PETERS ST FROM BARRACKS ST TO URSULINES AVE
"MULTIPOLYGON (((-90.063989407805 29.949728579229, -90.072768473092 29.955661496477, -90.063602407114 29.965924046835, -90.056830177921 29.961241782783, -90.059483755689 29.95953920012, -90.062080441962 29.956270043976, -90.062449524697 29.954411631239, -90.062662072406 29.953220107418, -90.062591557236 29.951438611386, -90.062413972922 29.949885246954, -90.063989407805 29.949728579229)))",22,SOUTHERN DECADENCE,Cultural and Ethnic,CANAL ST FROM THE RIVER TO N RAMPART ST; N RAMPART ST FROM CANAL ST TO ESPLANADE AVE; ESPLANADE FROM N RAMPART ST TO THE RIVER; THE RIVER FROM ESPLANADE ST TO CANAL ST.
"MULTIPOLYGON (((-90.131536659425 29.948803951839, -90.131501175835 29.948775731884, -90.131327445995 29.948634924588, -90.131093583984 29.948445378962, -90.130891421948 29.948281524718, -90.130667727088 29.948100218306, -90.130571264645 29.94802203493, -90.130535486404 29.9479930361, -90.130143530691 29.947675352261, -90.12978026576 29.947380921035, -90.129041497059 29.948070847694, -90.128284151591 29.948779991596, -90.127529374129 29.949487236574, -90.126776671904 29.950192473497, -90.126013797048 29.950903227343, -90.125269090738 29.95161090733, -90.124513083116 29.952311383318, -90.123758695991 29.95302473199, -90.12300347622 29.953730751674, -90.122241133026 29.954441125093, -90.12207793044 29.954595565925, -90.121940397991 29.95472571413, -90.121879281891 29.954783548795, -90.121831103246 29.95482423489, -90.121794245653 29.95485213694, -90.121700192912 29.954930142422, -90.121617527152 29.954994962942, -90.121542865953 29.955062438389, -90.121456320716 29.955143650769, -90.121360130318 29.955233911977, -90.121317077141 29.955274311271, -90.121310027017 29.955280927298, -90.120695384491 29.955857680453, -90.120611022742 29.955789390496, -90.120525278067 29.955719980709, -90.120801960175 29.955452523902, -90.120986317652 29.955274311077, -90.121025240569 29.955236686068, -90.121181193025 29.955085931189, -90.12127586425 29.954994414657, -90.121326533167 29.9549454341, -90.121348940859 29.954924596126, -90.121725942715 29.954573993969, -90.121892731532 29.95441888285, -90.12200294082 29.954314713514, -90.12204459412 29.954275036422, -90.122187120043 29.954144944896, -90.122260442163 29.954076561756, -90.122293052912 29.954046147495, -90.12248310595 29.953867391342, -90.122800587126 29.953568783903, -90.122845377732 29.953526656112, -90.123003435665 29.95337902391, -90.123342164513 29.953062638317, -90.123517211054 29.952899137328, -90.123557016786 29.952861605404, -90.123698669027 29.952728044191, -90.123884262954 29.95255305242, -90.124184253524 29.952272638443, -90.124312439851 29.9521528164, -90.124359163587 29.952109141403, -90.124589542293 29.951891932757, -90.124635520536 29.951848968984, -90.124912752517 29.95158991015, -90.125018814261 29.951490801388, -90.12506563221 29.95144682386, -90.125275786934 29.951249417074, -90.125702094438 29.950848969031, -90.125766614224 29.950788243341, -90.125812683274 29.950744883015, -90.126113337463 29.950468488363, -90.126149022185 29.950434020598, -90.126509910316 29.950085429546, -90.126567000049 29.950033929125, -90.126638502748 29.949969427189, -90.127012902901 29.949631683418, -90.127123318812 29.949532077872, -90.127332169499 29.949328141814, -90.127360165877 29.949302177989, -90.127524721815 29.949149570053, -90.127645119306 29.94903791432, -90.127654861719 29.949028681816, -90.127785078244 29.948905284166, -90.128089181018 29.948617106518, -90.128230762521 29.948484193022, -90.12866088776 29.948080398815, -90.128766967462 29.947980812647, -90.128805010946 29.947945098137, -90.128841687342 29.947910975254, -90.129213447723 29.947565100935, -90.129287539652 29.947496166986, -90.129314220005 29.947471344649, -90.129599207827 29.947206197424, -90.129612685245 29.9471936535, -90.129802480324 29.947357253197, -90.129803444812 29.94735802891, -90.129897824091 29.947433856152, -90.130406382035 29.947842451183, -90.130522268689 29.947935560003, -90.130695012482 29.948074348328, -90.131565134192 29.94877343166, -90.131551605054 29.9487859717, -90.131536659425 29.948803951839)))",24,MID-SUMMER MARDI GRAS,Cultural & Ethnic,
"MULTIPOLYGON (((-90.063989407805 29.949728579229, -90.072768473092 29.955661496477, -90.063602407114 29.965924046835, -90.056830177921 29.961241782783, -90.059483755689 29.95953920012, -90.062080441962 29.956270043976, -90.062449524697 29.954411631239, -90.062662072406 29.953220107418, -90.062591557236 29.951438611386, -90.062413972922 29.949885246954, -90.063989407805 29.949728579229)))",21,FRENCH QUARTER FESTIVAL,Music,CANAL ST FROM THE RIVER TO N RAMPART ST; N RAMPART ST FROM CANAL ST TO ESPLANADE AVE; ESPLANADE FROM N RAMPART ST TO THE RIVER; THE RIVER FROM ESPLANADE ST TO CANAL ST.
"MULTIPOLYGON (((-90.066663539913 29.944807213852, -90.066658543944 29.944768971671, -90.070457681875 29.945631447079, -90.070451777171 29.945664810775, -90.066663539913 29.944807213852)))",7,JAMMIN ON JULIA,Visual Arts and Crafts,JULIA ST FROM COMMERCE TO CAMP
"MULTIPOLYGON (((-90.091523993636 29.973292390576, -90.091525850411 29.973308809623, -90.091532205828 29.973368672594, -90.091532467074 29.973380901996, -90.091508828158 29.973657567824, -90.091502424524 29.973749926694, -90.091502313197 29.97381872562, -90.0915050658 29.973872818254, -90.091510261124 29.97392722806, -90.091528703698 29.974028973523, -90.091546937284 29.974111796476, -90.09158544469 29.974259067985, -90.091597294834 29.974333981353, -90.091606374679 29.974409752761, -90.091614372373 29.974521096756, -90.091615121746 29.974579031999, -90.091612531422 29.974679406105, -90.091611250356 29.974749690773, -90.091546309258 29.97498177596, -90.091509844433 29.975098298728, -90.091467603811 29.975213190801, -90.09141969435 29.975325850497, -90.091385765422 29.975397229138, -90.091343921438 29.975478159803, -90.091308544497 29.975539981941, -90.09127144742 29.975601124701, -90.091232591667 29.975661354043, -90.091192088519 29.975720554628, -90.091149268136 29.975778591115, -90.091112994651 29.975823595411, -90.091020591275 29.975929971446, -90.09100668795 29.975947633862, -90.090909073748 29.976091540949, -90.090803196497 29.9762222417, -90.090747879252 29.976371096085, -90.090724625075 29.976471881358, -90.090703387713 29.976537126334, -90.090669755636 29.976659057366, -90.090643685627 29.976767331556, -90.090631357189 29.976805302514, -90.09059601597 29.97690511201, -90.090544004279 29.977033222014, -90.090529536895 29.977065280343, -90.09049576536 29.977116440506, -90.090371485352 29.977284505936, -90.090326408547 29.977335242607, -90.08995854578 29.977790081138, -90.089630283972 29.97757445097, -90.08922776098 29.977295494686, -90.089220245468 29.977276725062, -90.089942555263 29.976525547797, -90.089970642494 29.976491118136, -90.090041160768 29.976390553925, -90.090199829199 29.975885758213, -90.090211990617 29.975854541563, -90.090315226444 29.975537148968, -90.090420169028 29.975201739657, -90.090425105824 29.975160910133, -90.090457150777 29.975046077283, -90.090721570304 29.974231139527, -90.090750032778 29.974132565129, -90.090793469414 29.974022766783, -90.091039680265 29.973257257971, -90.091041297146 29.973249329152, -90.091113443396 29.973121197831, -90.091523993636 29.973292390576)))",18,BAYOU BOOGALOO,Music,LAFITTE ST STARTING AT MOSS ST AND ENDING AT N JEFFERSON DAVIS PKWY; N JEFFERSON DAVIS PKWY FROM LAFITTE ST TO DUMAINE ST; DUMAINE ST FROM N JEFFERSON DAVIS PKWY TO MOSS ST; MOSS ST FROM DUMAINE ST T*
"MULTIPOLYGON (((-90.079772683168 29.940477431945, -90.079598967823 29.940380046558, -90.080113023183 29.939684494221, -90.080188429709 29.939726800734, -90.080361978026 29.939824242411, -90.079848113345 29.94051970639, -90.079772683168 29.940477431945)))",23,CENTRAL CITY FESTIVAL,Music,
"MULTIPOLYGON (((-90.06874497994 29.969371269134, -90.070489847068 29.97057043829, -90.072284073692 29.971807236492, -90.073100145079 29.972370705362, -90.073937680095 29.973003665341, -90.074610420812 29.973825253658, -90.075697342843 29.975038763456, -90.077099213292 29.977372453578, -90.077032422866 29.977450591089, -90.07563037232 29.975131222279, -90.074559898107 29.973917869261, -90.073846264142 29.973108961703, -90.073759102554 29.973026007891, -90.072980686959 29.972503509427, -90.072112023539 29.971902836006, -90.071302387237 29.971346173043, -90.070370584474 29.970702261189, -90.069506100201 29.970103070019, -90.068732820271 29.969567339592, -90.068632545196 29.96949655902, -90.06874497994 29.969371269134)))",10,CICLOVIA,,ESPLANADE AVE FROM N CLAIBORNE TO TONTI ST; CONTINUE LINE DOWN BAYOU ROD TO N BROAD ST
"MULTIPOLYGON (((-90.059554758569 29.959608958431, -90.059733300146 29.959747161232, -90.058094686391 29.961126767422, -90.0576181515 29.960780028072, -90.059554758569 29.959608958431)))",13,BOO CARRE HALLOWEEN AND HARVEST FESTIVAL,Holiday,URSULINES AVE FROM N PETERS ST TO FRENCH MARKET PL; FRENCH MARKET PL FROM URSULINES AVE TO BARRACKS ST; BARRACKS ST FROM FRENCH MARKET PL TO N PETERS ST; N PETERS ST FROM BARRACKS ST TO URSULINES AVE
"MULTIPOLYGON (((-90.135634353805 29.952042707832, -90.135584501483 29.952085222411, -90.12978026576 29.947380921035, -90.12979152017 29.947369214774, -90.129802480324 29.947357253197, -90.135634353805 29.952042707832)))",3,NEW ORLEANS PO-BOY FESTIVAL,Culinary Arts,OAK ST FROM S CARROLLTON TO EAGLE ST
"MULTIPOLYGON (((-90.050761852887 29.963659751902, -90.050469098904 29.964619577995, -90.049531299616 29.964407667539, -90.049825533529 29.96344791199, -90.050761852887 29.963659751902)))",17,NEW ORLEANS FRINGE THEATER FESTIVAL,"Film, Theatre, and Dance",PORT ST FROM CHARTRES ST TO ROYAL ST; ROYAL ST FROM PORT ST TO ST FERDINAND ST; ST FERDINAND ST FROM ROYAL ST TO CHARTRES ST; CHARTRES ST FROM ST FERDINAND ST TO PORT ST
"MULTIPOLYGON (((-90.066663539913 29.944807213852, -90.066658543944 29.944768971671, -90.070457681875 29.945631447079, -90.070451777171 29.945664810775, -90.066663539913 29.944807213852)))",6,ART FOR ART'S SAKE,Visual Arts and Crafts,JULIA ST FROM COMMERCE TO CAMP
