the_geom,OBJECTID,OwnerName,BusinessName,Address,Suite,City,State,Zip,PhoneNumber,BusinessType
POINT (-90.119367393437 29.968523422168),381037,ADAN FOOD INC,OLIVE FOOD MART,8841 OLIVE ST,,NEW ORLEANS,LA,70118,,1106 - GROCERY (EXC CONVENIENCE) STORES
POINT (-90.107691684146 29.976411409416),381038,OLYMPIA FOOD STORE INC,OLYMPIA FOOD STORE INC,301 S OLYMPIA ST,,NEW ORLEANS,LA,70119,504-231-4883,1106 - GROCERY (EXC CONVENIENCE) STORES
POINT (-90.036329126921 29.965571407892),381029,CUONG THAO INC,NIKKI FOOD STORE,3900 ST CLAUDE AVE,,NEW ORLEANS,LA,70117,504-945-6655,1106 - GROCERY (EXC CONVENIENCE) STORES
POINT (-90.09943017857 29.978305643036),381168,WINN DIXIE MONTGOMERY LLC,WINN DIXIE STORE #1472,401 N CARROLLTON AVE,,NEW ORLEANS,LA,70119,,1106 - GROCERY (EXC CONVENIENCE) STORES
POINT (-89.969569805861 30.057042239228),380923,"RANCH, INC",FAMILY RANCH MARKET,11950 HAYNE BLVD,,NEW ORLEANS,LA,70128,504-243-1944,1106 - GROCERY (EXC CONVENIENCE) STORES
POINT (-90.088473973179 29.96933963949),381034,NORMA'S SWEET BAKERY #2 LLC,NORMA'S SWEET BAKERY,2925 BIENVILLE AVE,,NEW ORLEANS,LA,70119,504-309-5401,1106 - GROCERY (EXC CONVENIENCE) STORES
POINT (-90.094371638917 29.965858020913),381045,"SAINT GEORGE,LLC",PARAISO GROCERY,3128 BANKS ST,,NEW ORLEANS,LA,70119,,1106 - GROCERY (EXC CONVENIENCE) STORES
POINT (-90.051787888571 29.979962442149),381094,SAVERS 2 INC,SAVERS 2,2440 N MIRO ST,,NEW ORLEANS,LA,70117,,1106 - GROCERY (EXC CONVENIENCE) STORES
POINT (-90.10707115022 29.920594604826),381061,RAINBOW MAGAZINE LLC,RAINBOW GROCERY,4837 MAGAZINE ST,,NEW ORLEANS,LA,70115,,1106 - GROCERY (EXC CONVENIENCE) STORES
POINT (-90.090535669739 29.937588147639),381106,QUAN VAN NGUYEN,SOUL'S SEAFOOD MARKET,2732 LA SALLE ST,,NEW ORLEANS,LA,70113,504-899-4420,1104 - FISH & SEAFOOD MARKETS
POINT (-90.084734764806 29.967206350295),381162,WHOLE FOOD COMPANY INC,WHOLE FOODS MARKET,300 N BROAD ST,,NEW ORLEANS,LA,70119,,1106 - GROCERY (EXC CONVENIENCE) STORES
POINT (-90.121798454337 29.964868360332),380956,"ABJ & R GROCERY,LLC",J & P SUPERETTE,2941 EAGLE ST,,NEW ORLEANS,LA,70118,,1106 - GROCERY (EXC CONVENIENCE) STORES
POINT (-90.065096769494 29.982223378928),380845,COUSIN'S FOODMART INC.,BROOKS GROCERY,2434 ALLEN ST,,NEW ORLEANS,LA,70119,,1106 - GROCERY (EXC CONVENIENCE) STORES
POINT (-90.10238926156 29.916910432707),381074,"ROUSE'S ENTERPRISES, LLC",ROUSES MARKET #26,4500 TCHOUPITOULAS ST,,NEW ORLEANS,LA,70115,504-896-7910,1105 - FULL SVC RESTAURANTS (TABLE SERVICE)
POINT (-89.947117755696 30.027698665013),380970,KING OF SOFT SHELL CRAB LLC,KING OF SOFT SHELL CRAB,4949 BULLARD AVE,,NEW ORLEANS,LA,70127,,0135 - FISH & SEAFOOD WHLSRS
POINT (-90.068659882115 29.96989254177),380999,TSY CORPORATION,MAN CHU FOOD STORE & CHINESE  FOOD,1413 N CLAIBORNE AVE,,NEW ORLEANS,LA,70116,504-947-5507,1101 - CONVENIENCE STORES
POINT (-90.133750108902 29.950718202179),380964,"AMEERA AB,LLC",JSK DISCOUNT,8539 OAK ST,STE #A,NEW ORLEANS,LA,70118,,1106 - GROCERY (EXC CONVENIENCE) STORES
POINT (-90.052079865595 30.021643536452),380932,MALAK INC,FRANKLIN DISCOUNT,6100 FRANKLIN AVE,,NEW ORLEANS,LA,70122,,1106 - GROCERY (EXC CONVENIENCE) STORES
POINT (-90.075835490737 30.006149227438),381092,"MORAN FOODS, LLC",SAVE A LOT - 463-4743,4726 PARIS AVE,,NEW ORLEANS,LA,70122,504-282-2966,1106 - GROCERY (EXC CONVENIENCE) STORES
POINT (-90.015453644772 29.961378293959),380881,CHICKEN MART II LLC,CHICKEN MART II,5601 ST CLAUDE AVE,,NEW ORLEANS,LA,70117,,1103 - MEAT MARKETS
POINT (-90.076582892185 29.985725798201),380921,FAIR ZONE FOOD STORE 2 LLC,FAIR ZONE FOOD STORE 2,1825 GENTILLY BLVD,,NEW ORLEANS,LA,70119,504-461-6175,1101 - CONVENIENCE STORES
POINT (-90.092867040416 29.930129203632),380827,BACK ON THE AVENUE LLC,BACK ON THE AVENUE,3401 BARONNE ST,,NEW ORLEANS,LA,70115,,1106 - GROCERY (EXC CONVENIENCE) STORES
POINT (-90.122885731538 29.922299081601),380888,CIRCLE K STORES INC,CIRCLE K #8276,6050 MAGAZINE ST,,NEW ORLEANS,LA,70118,504-895-0871,1101 - CONVENIENCE STORES
POINT (-90.053270056191 29.99675665197),380838,"BIG EASY POBOY & SEAFOOD, LLC",BIG EASY POBOY & SEAFOOD,3700 CLEMATIS ST,,NEW ORLEANS,LA,70122,,1106 - GROCERY (EXC CONVENIENCE) STORES
POINT (-90.100263764319 29.950856066317),380863,"TIEN & TUYET, INC",CAJUN SEAFOOD,2730 S BROAD ST,,NEW ORLEANS,LA,70125,504-822-6185,1104 - FISH & SEAFOOD MARKETS
POINT (-90.087905076467 29.923505269288),380839,BIG FISHERMAN SEAFOOD INC,BIG FISHERMAN SEAFOOD,3301 MAGAZINE ST,,NEW ORLEANS,LA,70115,504-897-9907,1104 - FISH & SEAFOOD MARKETS
POINT (-90.031237954123 29.964478206152),381141,CHAU TWO CORPORATION,TRUE CAJUN SEAFOOD,4400 ST CLAUDE AVE,,NEW ORLEANS,LA,70117,504-948-8998,1106 - GROCERY (EXC CONVENIENCE) STORES
POINT (-90.072243269939 29.944546989035),381153,VHKR & ASSOCTIATES INC,VHKR & ASSOCIATES INC D/B/A   PRICE BUSTERS,867 ST CHARLES AVE,,NEW ORLEANS,LA,70130,504-529-3759,1101 - CONVENIENCE STORES
POINT (-90.048156460637 29.973748870562),381057,"AMEER, LLC",QUICKIES DISCOUNT,1535 FRANKLIN AVE,,NEW ORLEANS,LA,70117,504-259-3655,1101 - CONVENIENCE STORES
POINT (-89.967193907869 30.018323343739),381126,BIEN V NGUYEN,TAN VIET WAREHOUSE,10100 CHEF MENTEUR HWY,,NEW ORLEANS,LA,70127,504-241-9903,1106 - GROCERY (EXC CONVENIENCE) STORES
POINT (-89.972309694458 30.018733937286),381167,WINN DIXIE MONTGOMERY LLC,WINN DIXIE #1439,9701 CHEF MENTEUR HWY,,NEW ORLEANS,LA,70127,504-244-0701,1106 - GROCERY (EXC CONVENIENCE) STORES
POINT (-89.927411706044 30.031851359283),380876,"TRAN FAMILY VENTURES, LLC",CHEF CHEVRON,13301 CHEF MENTEUR HWY,,NEW ORLEANS,LA,70129,504-254-8984,1101 - CONVENIENCE STORES
POINT (-90.104009745868 29.940545167696),380901,"LOUISIANA CVS PHARMACY, L.L.C.",CVS/ PHARMACY # 167,4401 S CLAIBORNE AVE,,NEW ORLEANS,LA,70125,401-765-1500,1101 - CONVENIENCE STORES
POINT (-90.114908992626 30.023858873569),381096,"CRESCENT CITY MARINE GROUP, INC.",SCHUBERT MARINE,126 S ROADWAY ST,,NEW ORLEANS,LA,70124,5042828136,1101 - CONVENIENCE STORES
POINT (-90.076989294557 29.951922709288),381064,LINA GROCERY INC,READ SUPERMARKET,7045 READ BLVD,A,NEW ORLEANS,LA,70127,504-244-0741,1101 - CONVENIENCE STORES
POINT (-90.07826949396 29.998946403644),380946,HANDY DISCOUNT INC,HANDY DISCOUNT,4101 JUMONVILLE ST,,NEW ORLEANS,LA,70122,504-282-9667,1106 - GROCERY (EXC CONVENIENCE) STORES
POINT (-89.742569856456 30.146836195096),381050,POMES CHRIS             POMES BERTRAND,POMES SEAFOOD,26064 CHEF MENTEUR HWY,,NEW ORLEANS,LA,70129,504-662-5026,0135 - FISH & SEAFOOD WHLSRS
POINT (-90.066932898 29.944944834434),381020,"NESBIT'S JULIA ST MARKET,LLC",NESBITS JULIA ST MARKET,333 JULIA ST,,NEW ORLEANS,LA,70130,,1101 - CONVENIENCE STORES
POINT (-89.912274866341 30.036518000962),381144,MICHAEL L TRAN,TUYET HUONG,14389 CHEF MENTEUR HWY,B,NEW ORLEANS,LA,70129,504-254-3178,1103 - MEAT MARKETS
POINT (-90.035956879636 30.00513891837),380936,FUEL ZONE LLC,FUEL ZONE,4500 CHEF MENTEUR HWY,,NEW ORLEANS,LA,70126,,1101 - CONVENIENCE STORES
POINT (-90.077115563802 29.92953730034),381116,AU LAIT CRU LLC,STEIN'S MARKET AND DELI,2207 MAGAZINE ST,,NEW ORLEANS,LA,70130,504-527-0771,"1169 - MISC STORE RTLERS (EX TOBAC), ALL OTH"
POINT (-90.049458441916 29.968660468099),380948,"YOUSEF ODEH, LLC",HANK'S SEAFOOD & SUPERMARKET,2634 ST CLAUDE AVE,,NEW ORLEANS,LA,70117,504-247-3731,1101 - CONVENIENCE STORES
POINT (-90.119653822911 29.955581919067),381121,I ZENITH INC,SUPER SERVE,8023 S CLAIBORNE AVE,,NEW ORLEANS,LA,70125,504-862-9079,1101 - CONVENIENCE STORES
POINT (-90.089232387222 29.974850454542),380963,JOHN & MARY INC,JOHN & MARY FOOD STORE,3238 ORLEANS AVE,,NEW ORLEANS,LA,70119,504-482-1144,1101 - CONVENIENCE STORES
POINT (-89.984500416407 29.923482251374),381124,SAMZI  G INC,T & T FOOD MART,6419 GENERAL MEYER AVE,,NEW ORLEANS,LA,70131,504-393-0201,1106 - GROCERY (EXC CONVENIENCE) STORES
POINT (-90.039356823812 30.005216761007),381158,"WAL-MART LOUISIANA, LLC",WALMART #3167(GENTILLY),4301 CHEF MENTEUR HWY,,NEW ORLEANS,LA,70164,479-204-6234,"1119 - GENERAL MERCHANDISE STORES, ALL OTH"
POINT (-89.960450915049 30.020878530563),381011,MINI MARKET LA CONSENTIDA LLC,MINI MARKET LA CONSENTIDA LLC,10715 CHEF MENTEUR HWY,STE A,NEW ORLEANS,LA,70127,,1101 - CONVENIENCE STORES
POINT (-89.929135616567 30.032236173165),380980,"LATINOS MARKET, LLC",LATINOS MARKET,13235 CHEF MENTEUR HWY,STE D2,NEW ORLEANS,LA,70129,,1106 - GROCERY (EXC CONVENIENCE) STORES
POINT (-90.088427606981 29.984382736029),381131,"THE BAYOU GROCERY, LLC",THE BAYOU GROCERY,3443 ESPLANADE AVE,134,NEW ORLEANS,LA,70119,,1101 - CONVENIENCE STORES
POINT (-90.087753150927 29.924002275098),380841,BREAUX MART SUPERMARKETS INC,BREAUX MART SUPERMARKETS,3233 MAGAZINE ST,,NEW ORLEANS,LA,70115,,1106 - GROCERY (EXC CONVENIENCE) STORES
POINT (-90.114475359747 30.00498527935),380883,CHRIS SPECIALTY FOODS LLC,CHRIS SPECIALTY FOODS LLC,6251 WEST END BLVD,,NEW ORLEANS,LA,70124,,1103 - MEAT MARKETS
POINT (-90.076989294557 29.951922709288),380991,M & K MEAT MARKET INC,M & K MEAT MARKET,1330 ODEON AVE,,NEW ORLEANS,LA,70114,973-248-7786,1103 - MEAT MARKETS
POINT (-90.076989294557 29.951922709288),381022,NEW ORLEANS FISH HOUSECO,NEW ORLEANS FISH HOUSE,P.O BOX 4126,,NEW ORLEANS,LA,70178,504-821-9700,0135 - FISH & SEAFOOD WHLSRS
POINT (-90.062656335105 29.961869327035),381055,MISAEL LLC,QUARTER MASTER DELI,1100 BOURBON ST,,NEW ORLEANS,LA,70116,,1101 - CONVENIENCE STORES
POINT (-90.076989294557 29.951922709288),380812,"LISA & LIZ, CORP        NGUYEN, BA V",ADAMS FOOD STORE #3,3001 BIENVILLE ST,,NEW ORLEANS,LA,70119-5401,504-861-1120,1101 - CONVENIENCE STORES
POINT (-89.993247916412 30.013710001683),380916,"EAST SIDE CASH & CARRY,",EAST SIDE CASH & CARRY INC,7943 CHEF MENTEUR HWY,,NEW ORLEANS,LA,70126,504-243-9797,1101 - CONVENIENCE STORES
POINT (-90.079283058695 29.995957749312),381110,SPIDERS I LLC,SPIDERS  MEAT MARKET,3800 ST BERNARD AVE,,NEW ORLEANS,LA,70122,504-455-8170,1106 - GROCERY (EXC CONVENIENCE) STORES
POINT (-90.076989294557 29.951922709288),380892,"DURGA ENTERPRISES, INC",COMPAK FOOD & DELI,501 DAUPHINE ST,,NEW ORLEANS,LA,70130,504-525-2311,1101 - CONVENIENCE STORES
POINT (-90.012855752183 29.971371185869),380938,BURNELL COTLON,GALVEZ GOODIES,2036 CAFFIN AVE,,NEW ORLEANS,LA,70117,504-319-5886,1106 - GROCERY (EXC CONVENIENCE) STORES
POINT (-90.084739222525 29.968093863639),380942,"TCL FAMILY,LLC",GOLDEN EXPRESS,400 N BROAD ST,,NEW ORLEANS,LA,70119,,1106 - GROCERY (EXC CONVENIENCE) STORES
POINT (-90.058418996107 29.961028678935),380820,ALTALIEH CONVENIENCE LLC,ALTALIEH CONVENIENCE,87 FRENCH MARKET PL,,NEW ORLEANS,LA,70116,504-339-8438,1101 - CONVENIENCE STORES
POINT (-90.126049679722 29.960795598782),380910,ARIYAN INC,DISCOUNT CORNER,8733 S CLAIBORNE AVE,,NEW ORLEANS,LA,70118,504-864-0057,1101 - CONVENIENCE STORES
POINT (-90.076989294557 29.951922709288),381138,THERESA MARIA LLC,TODAY'S CAJUN,1700 ST CLAUDE AVE,,NEW ORLEANS,LA,70116,,1106 - GROCERY (EXC CONVENIENCE) STORES
POINT (-90.064770504246 29.958101613683),381077,"ROUSE'S ENTERPRISES, LLC",ROUSES MARKET #30,701 ROYAL ST,,NEW ORLEANS,LA,70116,504-447-5998,1106 - GROCERY (EXC CONVENIENCE) STORES
POINT (-90.076989294557 29.951922709288),380985,TRIPLE A CAVIAR L.L.C.,LOUISIANA CAVIAR CO.,829 SAINT CHARLES AVE,,NEW ORLEANS,LA,70130,,0135 - FISH & SEAFOOD WHLSRS
POINT (-90.057212000722 29.978814292306),380903,"DANG ENTERPRISE , INC.",DANNY FOOD STORE,2101 ELYSIAN FIELDS AVE,,NEW ORLEANS,LA,70117,,1106 - GROCERY (EXC CONVENIENCE) STORES
POINT (-89.911367964934 30.035968125017),380879,"CHEF MARKET,LLC",CHEF MARKET,14400 CHEF MENTEUR HWY,,NEW ORLEANS,LA,70129,,1101 - CONVENIENCE STORES
POINT (-90.13069134041 29.948247683366),381101,SIMONES MARKET LLC,SIMONES MARKET,8201 OAK ST,,NEW ORLEANS,LA,70118,,1106 - GROCERY (EXC CONVENIENCE) STORES
POINT (-90.100097872802 29.921048906742),380823,REDZONE MAGAZINE,AVENUE MART LLC,4237 MAGAZINE ST,,NEW ORLEANS,LA,70115,(504899-8579,1101 - CONVENIENCE STORES
POINT (-90.073278103732 29.980354849508),380955,INSANITEA KOMBUCHA LLC,INSANITEA KOMBUCHA,2526 D'ABADIE ST,,NEW ORLEANS,LA,70119,,"0138 - GROCERY & RELATED PRDCTS WHLSRS, OTH"
POINT (-90.108248729479 29.935080936354),381122,"SUPERMACADO LAS ACACIAS, LLC",SUPERMERCADO LAS ACACIAS,4929 FRERET ST,,NEW ORLEANS,LA,70115,504-896-2251,1101 - CONVENIENCE STORES
POINT (-90.066380753172 29.95102175518),380862,DEEP SOUTH GROCERY CO IN,CAJUN COUNTRY STORE,400 CANAL ST,,NEW ORLEANS,LA,70130,504-586-8753,1101 - CONVENIENCE STORES
POINT (-90.051969783282 29.964942085969),381095,SCHIRO'S SUPER FOOD STORE INC,SCHIRO'S SUPER FOOD STORE INC,2483 ROYAL ST,,NEW ORLEANS,LA,70117,504-945-4425,1105 - FULL SVC RESTAURANTS (TABLE SERVICE)
POINT (-90.050351857753 29.96450211341),381000,MARDI GRAS ZONE LLC,MARDI GRAS ZONE GROCERY,2706 ROYAL ST,,NEW ORLEANS,LA,70117,504-647-8787,1106 - GROCERY (EXC CONVENIENCE) STORES
POINT (-89.999912773961 29.911395962499),380810,ARAMIX INC.,A & J'S MART,5163 GENERAL DE GAULLE DR,,NEW ORLEANS,LA,70131,504-394-4410,1101 - CONVENIENCE STORES
POINT (-90.041061519593 29.945391083733),381031,"XUAN HUY,LLC",NOLA FOOD MART,943 WHITNEY AVE,,NEW ORLEANS,LA,70114,985-856-6088,1101 - CONVENIENCE STORES
POINT (-90.071705469347 29.983691972989),381035,"AAA BUI,INC",NORTH BROAD SUPERMARKET,1901 N BROAD ST,,NEW ORLEANS,LA,70119,504-945-7369,1106 - GROCERY (EXC CONVENIENCE) STORES
POINT (-90.034488229446 29.992567882868),380984,SHAED LLC,LOUISA MINI MART,3423 LOUISA ST,,NEW ORLEANS,LA,70126,504-392-5513,1101 - CONVENIENCE STORES
POINT (-90.048008168511 29.977125829774),380933,FRANKLIN AVENUE MARKET LLC,FRANKLIN FOOD MART,1843 FRANKLIN AVE,,NEW ORLEANS,LA,70117,,1101 - CONVENIENCE STORES
POINT (-90.089613892179 29.963380470941),380828,"JADE, INC",BANKS MEAT MARKET,325 S BROAD ST,,NEW ORLEANS,LA,70119,504-822-9004,1103 - MEAT MARKETS
POINT (-90.054241836446 29.969012037347),381056,"ALL ABOUT CONVENIENCE, LLC",QUICK STOP SHOP,2301 ST CLAUDE AVE,,NEW ORLEANS,LA,70117,,1101 - CONVENIENCE STORES
POINT (-89.965717318842 30.018620015648),381145,"TWINS SEAFOOD, LLC",TWINS SEAFOOD,10240 CHEF MENTEUR HWY,,NEW ORLEANS,LA,70127,,1104 - FISH & SEAFOOD MARKETS
POINT (-90.06711173033 29.952157164806),380912,DEEP SOUTH GROCERY CO   INC,DIXIE MARKET,501 CANAL ST,,NEW ORLEANS,LA,70130,504-586-8753,1101 - CONVENIENCE STORES
POINT (-90.109986602005 29.965227078608),380886,"CIRCLE K STORES, INC.",CIRCLE K #2707673,3725 S CARROLLTON AVE,,NEW ORLEANS,LA,70118,504-486-8377,1101 - CONVENIENCE STORES
POINT (-90.038777234312 29.97198951086),381159,"WE GOT IT, LLC",WE GOT IT,3401 N CLAIBORNE AVE,,NEW ORLEANS,LA,70117,,1101 - CONVENIENCE STORES
POINT (-90.073964813901 29.947843540234),381073,"ROUSE'S ENTERPRISES, LLC.",ROUSE'S MARKET #46(CBD),701 BARONNE ST,,NEW ORLEANS,LA,70113,504-227-3838,1106 - GROCERY (EXC CONVENIENCE) STORES
POINT (-90.072237969408 29.957895506674),380830,BASIN SUPERMARKET INC,BASIN SUPERMARKET,237 BASIN ST,,NEW ORLEANS,LA,70112,504-522-7947,1101 - CONVENIENCE STORES
POINT (-90.074652351856 29.930853531636),380993,BAO CORP,MAGAZINE DISCOUNT MARKET,2000 MAGAZINE ST,,NEW ORLEANS,LA,70130-5018,504-348-7617,1101 - CONVENIENCE STORES
POINT (-90.086452516052 29.943962410888),380968,GENGO MICHAEL A,KELLER MARKET FOOD STORE,1802 MAGNOLIA ST,,NEW ORLEANS,LA,70113,504-523-8648,1101 - CONVENIENCE STORES
POINT (-90.063233957185 29.956002452179),380837,BIG EASY MARDI GRAS CO LLC,BIG EASY MARDI GRAS CO,600 DECATUR ST,,NEW ORLEANS,LA,70130,504-524-4729,1101 - CONVENIENCE STORES
POINT (-90.019984547374 29.909550717787),380833,BEHRMAN CAJUN SEAFOOD   INC,BEHRMAN CAJUN SEAFOOD,4021 BEHRMAN HWY,C,NEW ORLEANS,LA,70114,504-813-3986,1104 - FISH & SEAFOOD MARKETS
POINT (-90.073560939023 30.001370666506),381164,WILLIBY'S CATFISH LLC,WILLIBY'S CATFISH LLC,4327 PARIS AVE,,NEW ORLEANS,LA,70122,,0135 - FISH & SEAFOOD WHLSRS
POINT (-90.099760439501 29.958456034924),380951,"HUEY LONG FOODS, LLC","HUEY LONG FOODS, LLC",4333 EUPHROSINE ST,,NEW ORLEANS,LA,70125,,"1111 - SPECIALTY FOOD STORES, ALL OTHER"
POINT (-90.021260380171 30.018230035093),380914,FADI INC,DOWNMAN SUPERMARKET,4827 DOWNMAN RD,,NEW ORLEANS,LA,70126,504-242-2882,1101 - CONVENIENCE STORES
POINT (-90.060664502353 29.972975565626),381127,"TASTY TREAT,LLC",TASTY TREAT,1900 N CLAIBORNE AVE,,NEW ORLEANS,LA,70116,,1106 - GROCERY (EXC CONVENIENCE) STORES
POINT (-90.035416980875 29.965899379565),381008,"NADA M, INC",MIKE'S FOOD MART,3935 ST CLAUDE AVE,,NEW ORLEANS,LA,70117,225-573-4326,1101 - CONVENIENCE STORES
POINT (-90.042379232761 29.967055551198),381156,"AWAMIRA, LLC",WAGNERS,3200 ST CLAUDE AVE,,NEW ORLEANS,LA,70117,504-301-1548,1106 - GROCERY (EXC CONVENIENCE) STORES
POINT (-90.066368348801 29.973370699282),380884,LAYLA LLC,CIRCLE H MEAT MARKET,1600 ST BERNARD AVE,,NEW ORLEANS,LA,70116,,1103 - MEAT MARKETS
POINT (-90.000904322955 29.911994827896),380815,"ALG DISCOUNT, LLC",ALG DISCOUNT,5101 GENERAL DE GAULLE DR,,NEW ORLEANS,LA,70131,504-253-1254,1101 - CONVENIENCE STORES
POINT (-89.982184534371 30.02939555155),381136,THE LIQUOR STORE DEPOT LLC,THE LIQUOR STORE DEPOT,9301  LAKE FOREST BLVD,109,NEW ORLEANS,LA,70127,,"1110 - BEER, WINE & LIQUOR STORES"
POINT (-90.076989294557 29.951922709288),381017,"XUAN TUYEN, INC",NEIGHBORHOOD DISCOUNT SUPERMARKET,3222 BARONNE ST,,NEW ORLEANS,LA,70115,504-899-4954,1101 - CONVENIENCE STORES
POINT (-90.057929490189 29.964286868696),380861,PROJECT RENAISSANCE LLC,CAFE ROSE NICAUD,632 FRENCHMEN ST,,NEW ORLEANS,LA,70116,504-948-6823,1105 - FULL SVC RESTAURANTS (TABLE SERVICE)
POINT (-89.973931758757 30.032979759903),381091,"MORAN FOODS, LLC",SAVE A LOT - #464-4744,9999 LAKE FOREST BLVD,,NEW ORLEANS,LA,70127,504-244-1538,1106 - GROCERY (EXC CONVENIENCE) STORES
POINT (-90.088572565855 29.963900282876),380952,250 S BROAD INC,IDEAL DISCOUNT SUPERMARKET,250 S BROAD ST,,NEW ORLEANS,LA,70119,504-822-4232,1106 - GROCERY (EXC CONVENIENCE) STORES
POINT (-90.129463224697 29.955137610335),381048,PIGEON TOWN FOOD MART LLC,PIGEON TOWN FOOD MART,8601 HICKORY ST,,NEW ORLEANS,LA,70118,,1106 - GROCERY (EXC CONVENIENCE) STORES
POINT (-90.116208668355 29.950540239962),380844,BWC INC,BROADWAY FOOD STORE,2223 BROADWAY ST,,NEW ORLEANS,LA,70118-5409,504-861-0505,1101 - CONVENIENCE STORES
POINT (-90.084367260284 29.943846847443),380831,"NGA, INC",BAYOU FOOD STORE OF N. O,2432 MARTIN LUTHER KING JR BLVD,,NEW ORLEANS,LA,70113,504-522-1004,1101 - CONVENIENCE STORES
POINT (-90.061956772381 29.967917482703),380811,A & M FOOD STORE LLC,A & M FOOD STORE,1741 MCSHANE PL,,NEW ORLEANS,LA,70116,,1106 - GROCERY (EXC CONVENIENCE) STORES
POINT (-90.046035942576 30.002410598446),380840,"BOILING POT AT GENTILLY,LLC",BOILING POT AT GENTILLY,3868 GENTILLY BLVD,,NEW ORLEANS,LA,70122,,1101 - CONVENIENCE STORES
POINT (-90.07926257345 29.96510239089),381043,OVERFLOW MARKET & CAFE,OVERFLOW MARKET & CAFE,432 N GALVEZ ST,,NEW ORLEANS,LA,70116,,1106 - GROCERY (EXC CONVENIENCE) STORES
POINT (-90.088427606981 29.984382736029),381062,"RC FOUNTAIN SERVICES OF LOUISIANA, INC.",RC FOUNTAIN SERVICES OF LOUISIANA,3443 ESPLANADE AVE,134,NEW ORLEANS,LA,70119,504-822-2250,"0138 - GROCERY & RELATED PRDCTS WHLSRS, OTH"
POINT (-90.113504034513 30.025113324481),380976,"LAKESHORE MARINE & FUEL, LLC","LAKESHORE MARINE & FUEL, LLC",7840 LAKESHORE DR,,NEW ORLEANS,LA,70124,504-723-3717,1101 - CONVENIENCE STORES
