the_geom,OBJECTID,BusinessName,Address,Suite,City,State,Zip,PhoneNumber,BusinessType,OwnerName,LocationX,LocationY
POINT (-90.068361913227 29.955706507281),1155468,REMOULADE INC,309 BOURBON ST,,NEW ORLEANS,LA,70130,504-522-8767,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),"REMOULADE, INC",3681408.61871,531593.694915
POINT (-90.064137986016 29.958865958587),1155384,PERE ANTOINE RESTAURANT,741 ROYAL ST,,NEW ORLEANS,LA,70116,504-581-4478,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),"PERE ANTOINE, INC",3682733.41224,532757.377732
POINT (-90.057819099047 29.9629215705),1154650,BAMBOULA'S,514 FRENCHMEN ST,,NEW ORLEANS,LA,70116,,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),BAMBOULA'S INC,3684717.82594,534254.364613
POINT (-90.023956033642 30.024049020037),1155166,LE ROUX'S CHICKEN SHACK,7118 DOWNMAN RD,,NEW ORLEANS,LA,70126,,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),LE ROUX'S CHICKEN SHACK,3695185.85878,556603.519706
POINT (-89.911452193744 30.037041300598),1154781,CATRACHITAS RESTAURANT,4611 ALCEE FORTIER BLVD,,NEW ORLEANS,LA,70129,,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),CATRACHITAS RESTAURANT INC,3730727.16211,561752.256607
POINT (-90.12510622346 29.919047719689),1154840,CLANCY'S RESTAURANT,6100 ANNUNCIATION ST,,NEW ORLEANS,LA,70118,504-895-1111,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),"ANNUNCIATION FOODS, INC",3663580.87117,518069.256566
POINT (-90.076989294557 29.951922709288),1154836,CITY DONUTS,3125 ST. CLAUDE AVE. STE:3,,NEW ORLEANS,LA,70117,,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),CITY DONUTS AND CAFE 2 LLC,3678691.8167,530187.70942
POINT (-90.074991157744 29.953550921348),1154947,EDISON'S ESPRESSO AND TEA BAR,234 LOYOLA AVE,,NEW ORLEANS,LA,70112,,2062 - LIMITED SVC RESTAURANTS(NO TABLE SVC),"EDISON'S ESPRESSO AND TEA BAR,LLC",3679318.05544,530786.730434
POINT (-90.076989294557 29.951922709288),1155173,LEO'S CABOOSE RESTAURANT,1520 DELACHAISE ST,,NEW ORLEANS,LA,70115,,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),"BRUCE & VICTORIA, INC",3678691.8167,530187.70942
POINT (-90.062604262675 29.967861569331),1155645,THE BOURBON SQUARE,1139 ST BERNARD AVE,,NEW ORLEANS,LA,70116,,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),"A & E RESTAURANT,LLC",3683182.77832,536033.897031
POINT (-90.060353058893 29.997481700065),1155484,RO'S SMOKING JO'S,3827 FRENCHMEN ST,,NEW ORLEANS,LA,70122,,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),"RO'S SMOKING JO'S,LLC",3683775.88002,546812.811665
POINT (-90.114739904005 30.021411541659),1155152,LAKEVIEW HARBOR,8550 PONTCHARTRAIN BLVD,,NEW ORLEANS,LA,70124,504-486-4887,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),TOMAK L L C,3666468.75149,555327.528217
POINT (-90.085358685825 29.98073293635),1155186,LOLA'S RESTAURANT,3312 ESPLANADE AVE,,NEW ORLEANS,LA,70119,504-488-6946,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),ANDALUZ INC,3675927.41614,540635.238859
POINT (-90.073167806516 29.952836025178),1155188,LOUISE,935 GRAVIER ST,STE 100,NEW ORLEANS,LA,70112,504-267-7088,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),"RIVERBEND FOOD CO, LLC",3679898.29691,530533.113026
POINT (-89.967507620368 30.018112933392),1155507,SAINT MANCHU SEAFOOD & CHICKEN,10038 CHEF MENTEUR HWY,,NEW ORLEANS,LA,70127,,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),"SAINT MANCHU SEAFOOD & CHICKEN,LLC",3713073.78296,554653.45724
POINT (-90.131343409956 29.943217543237),1154644,BA CHI CANTEEN,7900 MAPLE ST,,NEW ORLEANS,LA,70118,504-373-5628,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),"SOS BROTHERS, L.L.C.",3661512.9129,526837.537662
POINT (-90.08550984616 29.924381813753),1154615,ANATOLIA,3100 MAGAZINE ST,,NEW ORLEANS,LA,70115,,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),"PITA HUT PLUS, LLC",3676102.71438,520143.349944
POINT (-90.109971718904 29.992068882518),1155151,LAKEVIEW BREW COFFEE CAFE,5606 CANAL BLVD,,NEW ORLEANS,LA,70124,504-483-7001,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),"LAKEVIEW BREW, LLC",3668091.54477,544673.413647
POINT (-90.061748170298 29.958112765827),1155725,TUJAGUE'S REST,823 DECATUR ST,,NEW ORLEANS,LA,70116,504-525-8676,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),TUJAGUE'S INC,3683493.16981,532491.87898
POINT (-90.061333525967 29.960975361046),1154877,CROISSANT D'OR BAKERY & CAFE,617 URSULINES AVE,,NEW ORLEANS,LA,70116,,2062 - LIMITED SVC RESTAURANTS(NO TABLE SVC),"D.A.A. HOLDINGS,LLC",3683612.90972,533534.281157
POINT (-90.025441724898 29.927311712994),1154894,DAT'S CAJUN SEAFOOD,3020 GENERAL DE GAULLE DR,,NEW ORLEANS,LA,70114,504-362-8252,1104 - FISH & SEAFOOD MARKETS,"DAT'S CAJUN SEAFOOD, LLC",3695117.25763,521420.949497
POINT (-90.09362297569 29.9805451849),1154689,BLUE OAK BBQ,900 N CARROLLTON AVE,,NEW ORLEANS,LA,70119,,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),FIRST CHAIR PRODUCTIONS LLC,3673311.89275,540538.565067
POINT (-90.104923265591 29.935278605775),1154654,BAR FRANCES,4525 FRERET ST,STE 107,NEW ORLEANS,LA,70115,,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),FRANCES NOLA LLC,3669910.96897,524039.379836
POINT (-90.106269538582 29.968535703303),1154714,BURGER KING #13204,4068 TULANE AVE,,NEW ORLEANS,LA,70119,,2062 - LIMITED SVC RESTAURANTS(NO TABLE SVC),"GPS HOSPITALITY PARTNERS IV, LLC",3669355.07086,536128.353543
POINT (-90.073787155546 29.950590722965),1154839,CITY GREENS,909 POYDRAS ST,STE 125,NEW ORLEANS,LA,70112,504-451-5817,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),CITY GREENS LLC,3679711.14754,529714.482369
POINT (-90.066283183673 29.956431665768),1155494,ROYAL HOUSE RESTAURANT,441 ROYAL ST,,NEW ORLEANS,LA,70130,504-931-5492,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),441 ROYAL LLC,3682063.93877,531864.661827
POINT (-90.076989294557 29.951922709288),1155231,MAYPOP,611 OKEEFE AVE,STE #C2,NEW ORLEANS,LA,70113,,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),DELTA RESTAURANT GROUP,3678691.8167,530187.70942
POINT (-90.074357463829 29.953257933224),1155701,THE TROUBLEDOUR HOTEL,1111 GRAVIER ST,,NEW ORLEANS,LA,70112,504-330-3648,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),"HP CONCESSIONS, LLC.",3679519.89135,530682.39341
POINT (-90.114060081758 29.980707405983),1155800,ZEA ROTISSERIE AND BAR,5080 PONTCHARTRAIN BLVD,,NEW ORLEANS,LA,70118,,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),ZEA METAIRIE ROAD LLC,3666841.38119,540528.132811
POINT (-90.06749846538 29.946693869447),1155477,REVELATOR COFFEE COMPANY,637 TCHOUPITOULAS ST,,NEW ORLEANS,LA,70130,,2062 - LIMITED SVC RESTAURANTS(NO TABLE SVC),"SOUTHERN COFFEE COMPANY,LLC",3681718.23752,528319.389568
POINT (-90.063425686165 29.956375983779),1154679,BIG EASY OF WILKINSON,617 DECATUR ST,,NEW ORLEANS,LA,70130,504-250-1780,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),617 DECATUR LLC,3682968.99208,531854.430531
POINT (-90.101839558957 29.973746938286),1155282,MONKEY MONKEY COFFEE AND TEA,4641 S CARROLLTON AVE,,NEW ORLEANS,LA,70119,,2062 - LIMITED SVC RESTAURANTS(NO TABLE SVC),"REDEMPSE,LLC",3670737.29569,538038.407625
POINT (-90.073981624158 29.938764903539),1154596,1415 CREOLE GARDENS,1415 PRYTANIA ST,,NEW ORLEANS,LA,70130,504-569-8700,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),"CREOLE GARDENS, LLC",3679696.82831,525413.506301
POINT (-90.088611573164 29.922986742942),1154690,BOIL SEAFOOD HOUSE,3340 MAGAZINE ST,,NEW ORLEANS,LA,70115,,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),"CONNECTING EXPRESS, LLC.",3675125.74344,519625.36588
POINT (-90.112377148259 29.917465597726),1154919,DOMILISE'S POBOY,5240 ANNUNCIATION ST,,NEW ORLEANS,LA,70115,,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),"DOMILISE'S POBOY, LLC",3667619.20282,517536.680694
POINT (-90.023135828353 29.940528960041),1154611,ALGIERS STEAK AND OYSTER CAFE,3137 GENERAL MEYER AVE,,NEW ORLEANS,LA,70114,,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),ALGIERS STEAK AND OYSTER CAFE LLC,3695792.67498,526235.535486
POINT (-90.108879085047 29.935065280355),1155030,GOOD BIRD,5031 FRERET ST,,NEW ORLEANS,LA,70115,,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),LEO FOOD & BEVERAGE FRERET ST,3668658.91444,523948.39686
POINT (-89.960790923994 30.020788722504),1155091,ISLAND FLAVOR,10711 CHEF MENTEUR HWY,,NEW ORLEANS,LA,70127,,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),"ISLAND FLAVOR, LLC",3715187.63826,555651.869721
POINT (-90.070007565402 29.951161153922),1155573,STREETCAR CAFE,312 ST CHARLES AVE,,NEW ORLEANS,LA,70130,,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),MALKAWI LLC,3680905.7412,529935.088065
POINT (-90.064075876972 29.955829695357),1154874,CRESCENT CITY BREWHOUSE,527 DECATUR ST,,NEW ORLEANS,LA,70130,504-943-8458,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),CRESCENT CITY BREWHOUSE,3682765.30888,531653.498755
POINT (-90.09485772581 29.941945062373),1155388,PHILLY'S CAFE,2816 S CLAIBORNE AVE,C,NEW ORLEANS,LA,70125,504-896-2220,2062 - LIMITED SVC RESTAURANTS(NO TABLE SVC),HJJ & JHC LLC,3673072.71425,526497.865982
POINT (-90.099322194985 29.920868026945),1155692,THE STANDARD,4206 MAGAZINE ST,,NEW ORLEANS,LA,70115,,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),THE STANDARD EATING HOUSE LLC,3671741.36878,518818.228151
POINT (-90.109239401621 29.935116152844),1155175,LIBERTY CHEESESTEAKS,2301 SONIAT ST,,NEW ORLEANS,LA,70115,,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),"LIBERTY CHEESESTEAKS,LLC",3668544.59751,523965.676604
POINT (-90.058289532131 29.961123521812),1155192,LOUISIANA PIZZA KITCHEN,95 FRENCH MARKET PL,,NEW ORLEANS,LA,70116,504-362-3812,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),FRENCH MARKET PIZZA INC,3684576.1485,533598.870021
POINT (-90.094542563116 29.942157310829),1155622,TACO BELL  #27665,2800 S CLAIBORNE AVE,,NEW ORLEANS,LA,70113,985-384-3333,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),B & G FOOD ENTERPRISES LLC,3673171.69089,526576.126206
POINT (-90.066296307855 29.944808973076),1154959,EMBASSY SUITES CONVENTION CENTER,315 JULIA ST,,NEW ORLEANS,LA,70130,,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),"AIMBRIDGE CONCESSIONS, INC",3682106.51797,527638.180735
POINT (-89.956762236637 30.041817929488),1155607,SUPER CAJUN SEAFOOD,5971 BULLARD AVE,,NEW ORLEANS,LA,70128,504-241-3436,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),TONY & JOHNNY LE LLC,3716370.61938,563314.1576
POINT (-90.046416531449 29.964646044482),1154770,CAPULET,3014 DAUPHINE ST,STE #1,NEW ORLEANS,LA,70117,,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),"DAUPHINE RESTAURANT,LLC",3688321.17487,534921.81575
POINT (-90.035492846765 30.006078928497),1155621,TACO BELL   #26773,4603 CHEF MENTEUR HWY,,NEW ORLEANS,LA,70122,985-384-3333,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),B & G FOOD ENTERPRISES LLC,3691609.22204,550027.363732
POINT (-90.051969783282 29.964942085969),1155521,SCHIRO'S SUPER FOOD STORE INC,2483 ROYAL ST,,NEW ORLEANS,LA,70117,504-945-4425,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),SCHIRO'S SUPER FOOD STORE INC,3686561.67721,535009.762054
POINT (-90.069924394499 29.949680082451),1155724,TSUNAMI,601  POYDRAS ST,,NEW ORLEANS,LA,70130,337 849 8171,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),DAI YON LLC,3680938.01679,529396.806657
POINT (-89.973867115574 30.035058523147),1155413,PJ'S COFFEE & TEA,5733 READ BLVD,,NEW ORLEANS,LA,70127,,2062 - LIMITED SVC RESTAURANTS(NO TABLE SVC),"CRESCENT CITY COFFEE,LLC",3710988.19909,560791.571614
POINT (-90.066829771077 29.951345025721),1155785,WILLIE'S CHICKEN SHACK,428 CANAL ST,STE:206,NEW ORLEANS,LA,70130,,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),WILLIE'S CANAL LLC,3681911.30613,530013.059393
POINT (-90.117785611637 29.921444418264),1154914,DISTRICT HAND PIE AND COFFEE BAR,5637 MAGAZINE ST,,NEW ORLEANS,LA,70115,,2062 - LIMITED SVC RESTAURANTS(NO TABLE SVC),TURNCHANGE LLC,3665890.58336,518965.310519
POINT (-90.062878934436 29.947716532787),1155548,SOUTH PHILLY STEAK & FRIES,500 PORT OF NEW ORLEANS PL,231,NEW ORLEANS,LA,70130,504-491-6968,2062 - LIMITED SVC RESTAURANTS(NO TABLE SVC),VILLA ENTERPRISES LLC,3683177.03471,528707.457664
POINT (-90.063759999528 29.949370858711),1155006,FUDDRUCKERS,4 CANAL ST,,NEW ORLEANS,LA,70130,504-589-0090,2062 - LIMITED SVC RESTAURANTS(NO TABLE SVC),PARK LANE OF NEW ORLEANS,3682891.35528,529305.937985
POINT (-90.084210469425 29.980360755182),1154744,CAFE DEGAS,3127 ESPLANADE AVE,,NEW ORLEANS,LA,70119,504-945-5635,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),CAFE DEGAS INC,3676292.38715,540503.860363
POINT (-90.099980250673 29.96637559805),1154697,BOSWELL JAMAICAN GRILL,3521 TULANE AVE,,NEW ORLEANS,LA,70119,504-482-6600,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),DARBOZ INC,3671354.79899,535364.234822
POINT (-90.070577682815 30.027621440845),1154801,CHARTWELLS DINING SERVICES,6658 FOUNDERS RD,103,NEW ORLEANS,LA,70148,,2062 - LIMITED SVC RESTAURANTS(NO TABLE SVC),"COMPASS GROUP USA, INC",3680418.79432,557737.015067
POINT (-90.066408861376 29.950794564917),1155023,GEISHA SUSHI RESTAURANT,111 TCHOUPITOULAS ST,,NEW ORLEANS,LA,70130,917-517-7136,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),"LUCKY DRAGON, LLC",3682046.80764,529814.365249
POINT (-90.05603628965 29.968877733864),1154968,FAIR GRINDS COFFEEHOUSE ON ST CLAUDE,2221 ST CLAUDE AVE,,NEW ORLEANS,LA,70117,,2062 - LIMITED SVC RESTAURANTS(NO TABLE SVC),"ACORN GLOBAL ENTERPRISES,LLC",3685258.17301,536426.533703
POINT (-90.072296750157 29.952281081468),1155739,VIET ORLEANS BISTRO,300 BARONNE ST,,NEW ORLEANS,LA,70112,,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),VIET ORLEANS SUSHI  HIBACHI BISTRO LLC,3680176.34837,530334.34989
POINT (-90.06819873716 29.978028880751),1155444,RALLY'S HAMBURGER # 416,1709 N GALVEZ ST,,NEW ORLEANS,LA,70119-1602,727-519-2001,2062 - LIMITED SVC RESTAURANTS(NO TABLE SVC),CHECKERS DRIVE IN REST I,3681370.6653,539711.514442
POINT (-90.067183664369 29.949034520466),1155290,MOTHER'S RESTAURANT,401 POYDRAS ST,,NEW ORLEANS,LA,70130,,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),"MOTHER'S RESTAURANT,LLC",3681808.52399,529171.636928
POINT (-90.076989294557 29.951922709288),1155400,PINOLERO INVESTMENT LLC,201 ST ST CHARLES AVE,212,NEW ORLEANS,LA,70170,(512)299-4878,2062 - LIMITED SVC RESTAURANTS(NO TABLE SVC),NOLA NICA # 2,3678691.8167,530187.70942
POINT (-90.100266368349 29.975363691683),1155799,ZASU,127 N CARROLLTON AVE,,NEW ORLEANS,LA,70119,,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),OSTRAZ LLC,3671229.03604,538631.678281
POINT (-90.076989294557 29.951922709288),1154625,AQUARIUM OF AMER. & WOLDENBERG RF PK,1 CANAL ST,,NEW ORLEANS,LA,70130,504-595-3474,2062 - LIMITED SVC RESTAURANTS(NO TABLE SVC),AUDUBON NATURE INSTITUTEINC.,3678691.8167,530187.70942
POINT (-90.077170537715 29.929503507151),1154915,DISTRICT: DONUTS. SLIDERS. BREW,2209 MAGAZINE ST,,NEW ORLEANS,LA,70130,504-875-9090,2062 - LIMITED SVC RESTAURANTS(NO TABLE SVC),STEPHEN CALI AARON VOGEL CHRIS,3678723.79714,522034.642874
POINT (-90.079071202837 29.928013158585),1155276,MOLLY’S RISE AND SHINE,2368 MAGAZINE ST,,NEW ORLEANS,LA,70130,,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),MOLLY’S RISE AND SHINE,3678127.71899,521486.103929
POINT (-90.119533083122 29.921924636472),1154685,BISTRO DAISY,5831 MAGAZINE ST,,NEW ORLEANS,LA,70115,504-913-8567,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),"ITALIAN RESTAURATEURS,INC",3665335.1986,519134.067575
POINT (-90.037016870202 30.00474837715),1155447,RALLY'S HAMBURGERS # 409,4460 CHEF MENTEUR HWY,,NEW ORLEANS,LA,70126-4922,727-519-2001,2062 - LIMITED SVC RESTAURANTS(NO TABLE SVC),CHECKERS DRIVE IN REST I,3691132.3542,549538.063955
POINT (-90.043309940788 30.002649327998),1155421,PONTILLY RIDGE COFFEE & BAKERY,4000 CHEF MENTEUR HWY,,NEW ORLEANS,LA,70126,,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),BETHEL COMMUNITY BAPTIST CHURCH,3689149.21225,548752.290835
POINT (-89.9707219108 30.030476149585),1155123,JULIE'S KITCHEN,5609 READ BLVD,,NEW ORLEANS,LA,70127,,2062 - LIMITED SVC RESTAURANTS(NO TABLE SVC),JULIE HOA CORPORATION,3712003.15192,559137.069532
POINT (-90.120470287161 29.951836019041),1155478,RICCOBONO'S PANOLA ST CAFE,7801 PANOLA ST,,NEW ORLEANS,LA,70118,504-486-3489,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),RICCOBOND'SPANOLA ST CAFCAFE LLC,3664923.19725,530007.829889
POINT (-90.10500937604 29.983088304697),1155583,SUBWAY,514 CITY PARK AVE,,NEW ORLEANS,LA,70119,504-606-1169,2062 - LIMITED SVC RESTAURANTS(NO TABLE SVC),RA & L ENTERPRISE LLC,3669697.3273,541424.52334
POINT (-90.084138857871 29.980523016202),1154605,ACORN GLOBAL ENTERPRISES,3133 PONCE DE LEON ST,,NEW ORLEANS,LA,70119,,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),"ACORN GLOBAL ENTERPRISES, L3C, FAIR GRINDS",3676314.41422,540563.111819
POINT (-90.127867508374 29.91725437938),1154816,CHILDREN'S HOSPITAL CARE,200 HENRY CLAY AVE,D,NEW ORLEANS,LA,70118-5720,504-899-9511,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),CHILDREN'S HOSPITAL,3662713.03642,517407.919029
POINT (-90.129648450814 29.941840009729),1155565,STARBUCKS COFFEE #6285,7700 MAPLE ST,,NEW ORLEANS,LA,70118,206-447-1575,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),STARBUCKS CORPORATION,3662054.95949,526342.248702
POINT (-90.071031804747 29.981389512708),1155216,MANCHU KITCHEN,1782 N DORGENOIS ST,,NEW ORLEANS,LA,70119,504-948-2556,2062 - LIMITED SVC RESTAURANTS(NO TABLE SVC),MAN CHU KITCHEN INC,3680460.3037,540923.676811
POINT (-89.92786003125 30.029952862954),1155747,VUCINOVICH'S RESTAURANT,4510 MICHOUD BLVD,,NEW ORLEANS,LA,70129,504-254-5246,2062 - LIMITED SVC RESTAURANTS(NO TABLE SVC),VUCINOVICH'S RESTAURANT INC,3725567.50022,559110.59894
POINT (-90.076989294557 29.951922709288),1155630,"TASTY TREAT, LLC",1900 NORTH CLAIBORNE AVENUE,,NEW ORLEANS,LA,70116,,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),"TASTY TREAT, LLC",3678691.8167,530187.70942
POINT (-90.06295149726 29.959874667732),1154732,CAFE AMELIE,912 ROYAL ST,,NEW ORLEANS,LA,70116,504-524-7004,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),ROYAL STREET BISTRO LLC,3683105.03874,533128.3449
POINT (-90.114746192955 30.020986695229),1155083,II TONYS RESTAURANT,8536 PONTCHARTRAIN BLVD,,NEW ORLEANS,LA,70124,504-831-0999,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),II TONY'S INC,3666468.40455,555173.014937
POINT (-90.067552204474 29.956258207786),1155334,OCEANA GRILL,739 CONTI ST,,NEW ORLEANS,LA,70130,504-525-6002,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),CAJUN CONTI LLC,3681662.79919,531797.144707
POINT (-90.073416242777 29.93911295597),1155523,SEED,1330 PRYTANIA ST,,NEW ORLEANS,LA,70130,504-416-4260,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),SYMBIOTIC RESTAURANTS LLC,3679874.49659,525542.039165
POINT (-90.060878638485 29.962203541969),1154674,BENNACHIN RESTAURANT,1212 ROYAL ST,,NEW ORLEANS,LA,70116,504-236-6315,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),FANTA TAMBAJANG,3683751.98396,533982.492229
POINT (-90.06857112414 29.927940991535),1155069,"HORIZON RIVER RESTAURANTS, LLC",1801 ROUSSEAU ST,,NEW ORLEANS,LA,70130,,2062 - LIMITED SVC RESTAURANTS(NO TABLE SVC),"HORIZON RIVER RESTAURANTS, LLC",3681453.81589,521496.418873
POINT (-90.065618184594 29.953462313862),1155086,INDUSTRY BAR & KITCHEN,240 DECATUR ST,,NEW ORLEANS,LA,70130,504-895-1600,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),PARSA INC,3682286.45756,530787.225666
POINT (-90.116926417286 30.005801467144),1154811,CHEZ PIERRE FRENCH BAKERY & CAFE,141 W HARRISON AVE,STE A,NEW ORLEANS,LA,70124,,2062 - LIMITED SVC RESTAURANTS(NO TABLE SVC),"CHEZ PIERRE FRENCH BAKERY & CAFE, LLC",3665837.09895,549643.704148
POINT (-90.074991157744 29.953550921348),1155129,KAIS LLC,234 LOYOLA AVE,,NEW ORLEANS,LA,70112,,2062 - LIMITED SVC RESTAURANTS(NO TABLE SVC),TRUONG KENNY K,3679318.05544,530786.730434
POINT (-90.109416667339 30.005112524556),1154913,"DISTRICT DONUTS, SLIDES, BREW",527 HARRISON AVE,,NEW ORLEANS,LA,70115,,2062 - LIMITED SVC RESTAURANTS(NO TABLE SVC),"TURNCHANGE, LLC",3668216.57652,549418.486355
POINT (-90.067236378671 29.94228692745),1154847,COCHON BUTCHER/CALCASIEN,930 TCHOUPITOULAS ST,STE #B,NEW ORLEANS,LA,70130,504-588-2189,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),"BUTCHER BANQUET,LLC",3681818.94268,526717.783102
POINT (-90.07142386107 29.947277019523),1155057,HERBSAINT RESTAURANT,701 ST CHARLES AVE,,NEW ORLEANS,LA,70130,504-524-4114,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),SLJ RESTAURANT PARTNERS INC,3680472.80117,528517.7328
POINT (-90.081010126783 29.973332834577),1154876,CRESCENT CITY RESTAURANT,1001 N BROAD ST,,NEW ORLEANS,LA,70119,504-821-3271,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),"CRESCENT CITY REST INC  VOJKOVICH, FRANK",3677333.46773,537959.297737
